"geoid","region_type","region_name","year","measure","value","measure_type","measure_units"
51510202001,"tract","Census Tract 2020.01, Alexandria city, Virginia",2021,"download",202.242406452244,"mean","Mb/sec"
51510200900,"tract","Census Tract 2009, Alexandria city, Virginia",2020,"download",149.823292621799,"mean","Mb/sec"
51059491000,"tract","Census Tract 4910, Fairfax County, Virginia",2019,"download",129.081457577065,"mean","Mb/sec"
51107610900,"tract","Census Tract 6109, Loudoun County, Virginia",2020,"download",105.531277872465,"mean","Mb/sec"
51059491703,"tract","Census Tract 4917.03, Fairfax County, Virginia",2020,"download",167.01258673927,"mean","Mb/sec"
51059471301,"tract","Census Tract 4713.01, Fairfax County, Virginia",2020,"download",156.682724957131,"mean","Mb/sec"
51153900408,"tract","Census Tract 9004.08, Prince William County, Virginia",2021,"download",181.016451238452,"mean","Mb/sec"
51059440100,"tract","Census Tract 4401, Fairfax County, Virginia",2019,"download",113.087986654851,"mean","Mb/sec"
51059415900,"tract","Census Tract 4159, Fairfax County, Virginia",2020,"download",148.865400925334,"mean","Mb/sec"
51059415800,"tract","Census Tract 4158, Fairfax County, Virginia",2019,"download",121.040381524145,"mean","Mb/sec"
51059461901,"tract","Census Tract 4619.01, Fairfax County, Virginia",2020,"download",133.563403402035,"mean","Mb/sec"
51153901900,"tract","Census Tract 9019, Prince William County, Virginia",2020,"download",175.388816894821,"mean","Mb/sec"
51153901223,"tract","Census Tract 9012.23, Prince William County, Virginia",2020,"download",163.766940160948,"mean","Mb/sec"
51510200303,"tract","Census Tract 2003.03, Alexandria city, Virginia",2019,"download",151.661089065208,"mean","Mb/sec"
51059431400,"tract","Census Tract 4314, Fairfax County, Virginia",2020,"download",156.923077467273,"mean","Mb/sec"
51059460701,"tract","Census Tract 4607.01, Fairfax County, Virginia",2021,"download",191.68668071034,"mean","Mb/sec"
51153901900,"tract","Census Tract 9019, Prince William County, Virginia",2021,"download",219.636855251067,"mean","Mb/sec"
51153900600,"tract","Census Tract 9006, Prince William County, Virginia",2021,"download",192.818112688621,"mean","Mb/sec"
51107611012,"tract","Census Tract 6110.12, Loudoun County, Virginia",2020,"download",196.009166553565,"mean","Mb/sec"
51153,"county","Prince William County, Virginia",2020,"download",170.439765646193,"mean","Mb/sec"
51059430203,"tract","Census Tract 4302.03, Fairfax County, Virginia",2020,"download",142.452907341695,"mean","Mb/sec"
51059420600,"tract","Census Tract 4206, Fairfax County, Virginia",2020,"download",173.796092333624,"mean","Mb/sec"
51107611025,"tract","Census Tract 6110.25, Loudoun County, Virginia",2019,"download",121.474427063803,"mean","Mb/sec"
51107611209,"tract","Census Tract 6112.09, Loudoun County, Virginia",2021,"download",221.436567872692,"mean","Mb/sec"
51107610602,"tract","Census Tract 6106.02, Loudoun County, Virginia",2020,"download",185.811984623562,"mean","Mb/sec"
51059451800,"tract","Census Tract 4518, Fairfax County, Virginia",2021,"download",164.094384944183,"mean","Mb/sec"
51059480203,"tract","Census Tract 4802.03, Fairfax County, Virginia",2019,"download",130.710424611052,"mean","Mb/sec"
51059470700,"tract","Census Tract 4707, Fairfax County, Virginia",2021,"download",216.032310855332,"mean","Mb/sec"
51059440600,"tract","Census Tract 4406, Fairfax County, Virginia",2020,"download",163.309332478195,"mean","Mb/sec"
51059421103,"tract","Census Tract 4211.03, Fairfax County, Virginia",2020,"download",156.682211693416,"mean","Mb/sec"
51059461500,"tract","Census Tract 4615, Fairfax County, Virginia",2021,"download",201.172922870396,"mean","Mb/sec"
51059461500,"tract","Census Tract 4615, Fairfax County, Virginia",2019,"download",121.610038391033,"mean","Mb/sec"
51059492100,"tract","Census Tract 4921, Fairfax County, Virginia",2019,"download",114.977468308568,"mean","Mb/sec"
51059461202,"tract","Census Tract 4612.02, Fairfax County, Virginia",2020,"download",154.483581514433,"mean","Mb/sec"
51107610604,"tract","Census Tract 6106.04, Loudoun County, Virginia",2019,"download",127.60306101505,"mean","Mb/sec"
51107610601,"tract","Census Tract 6106.01, Loudoun County, Virginia",2020,"download",182.041081380781,"mean","Mb/sec"
51059491801,"tract","Census Tract 4918.01, Fairfax County, Virginia",2021,"download",194.416690407818,"mean","Mb/sec"
51510201802,"tract","Census Tract 2018.02, Alexandria city, Virginia",2020,"download",176.08022938431,"mean","Mb/sec"
51510200301,"tract","Census Tract 2003.01, Alexandria city, Virginia",2021,"download",173.027119022666,"mean","Mb/sec"
51059480901,"tract","Census Tract 4809.01, Fairfax County, Virginia",2020,"download",164.834309472393,"mean","Mb/sec"
51685920200,"tract","Census Tract 9202, Manassas Park city, Virginia",2019,"download",150.798928887747,"mean","Mb/sec"
51059491403,"tract","Census Tract 4914.03, Fairfax County, Virginia",2019,"download",137.630829688436,"mean","Mb/sec"
51013102802,"tract","Census Tract 1028.02, Arlington County, Virginia",2020,"download",158.632621902459,"mean","Mb/sec"
51059421101,"tract","Census Tract 4211.01, Fairfax County, Virginia",2021,"download",201.962328479676,"mean","Mb/sec"
51107611204,"tract","Census Tract 6112.04, Loudoun County, Virginia",2020,"download",168.376840603113,"mean","Mb/sec"
51107611602,"tract","Census Tract 6116.02, Loudoun County, Virginia",2019,"download",127.322787254343,"mean","Mb/sec"
51059461700,"tract","Census Tract 4617, Fairfax County, Virginia",2019,"download",134.248515816701,"mean","Mb/sec"
51059422201,"tract","Census Tract 4222.01, Fairfax County, Virginia",2021,"download",204.26261568171,"mean","Mb/sec"
51013102200,"tract","Census Tract 1022, Arlington County, Virginia",2019,"download",129.410237634387,"mean","Mb/sec"
51059421300,"tract","Census Tract 4213, Fairfax County, Virginia",2019,"download",134.122615027478,"mean","Mb/sec"
51510200303,"tract","Census Tract 2003.03, Alexandria city, Virginia",2020,"download",171.737839595129,"mean","Mb/sec"
51153901230,"tract","Census Tract 9012.30, Prince William County, Virginia",2019,"download",164.550255924978,"mean","Mb/sec"
51685920100,"tract","Census Tract 9201, Manassas Park city, Virginia",2019,"download",148.707727077384,"mean","Mb/sec"
51013103100,"tract","Census Tract 1031, Arlington County, Virginia",2021,"download",208.061530309354,"mean","Mb/sec"
51107611700,"tract","Census Tract 6117, Loudoun County, Virginia",2021,"download",181.043008173849,"mean","Mb/sec"
51510201202,"tract","Census Tract 2012.02, Alexandria city, Virginia",2020,"download",158.035404308602,"mean","Mb/sec"
51013103300,"tract","Census Tract 1033, Arlington County, Virginia",2021,"download",238.798613310662,"mean","Mb/sec"
51107610201,"tract","Census Tract 6102.01, Loudoun County, Virginia",2020,"download",111.236899836576,"mean","Mb/sec"
51153901009,"tract","Census Tract 9010.09, Prince William County, Virginia",2020,"download",157.882930258686,"mean","Mb/sec"
51107610900,"tract","Census Tract 6109, Loudoun County, Virginia",2019,"download",81.5401760513149,"mean","Mb/sec"
51153901416,"tract","Census Tract 9014.16, Prince William County, Virginia",2021,"download",205.608163657571,"mean","Mb/sec"
51059481105,"tract","Census Tract 4811.05, Fairfax County, Virginia",2020,"download",154.125564876546,"mean","Mb/sec"
51059460400,"tract","Census Tract 4604, Fairfax County, Virginia",2020,"download",151.567480975736,"mean","Mb/sec"
51059450602,"tract","Census Tract 4506.02, Fairfax County, Virginia",2020,"download",128.339224192664,"mean","Mb/sec"
51013101703,"tract","Census Tract 1017.03, Arlington County, Virginia",2020,"download",149.997696376573,"mean","Mb/sec"
51059491000,"tract","Census Tract 4910, Fairfax County, Virginia",2020,"download",156.990794820137,"mean","Mb/sec"
51510200107,"tract","Census Tract 2001.07, Alexandria city, Virginia",2021,"download",229.558720681492,"mean","Mb/sec"
51059452801,"tract","Census Tract 4528.01, Fairfax County, Virginia",2021,"download",187.559964918886,"mean","Mb/sec"
51107611015,"tract","Census Tract 6110.15, Loudoun County, Virginia",2019,"download",149.011372259081,"mean","Mb/sec"
51107611025,"tract","Census Tract 6110.25, Loudoun County, Virginia",2020,"download",190.323304129866,"mean","Mb/sec"
51510200801,"tract","Census Tract 2008.01, Alexandria city, Virginia",2019,"download",137.425610469931,"mean","Mb/sec"
51013101602,"tract","Census Tract 1016.02, Arlington County, Virginia",2019,"download",133.360917750885,"mean","Mb/sec"
51107610505,"tract","Census Tract 6105.05, Loudoun County, Virginia",2020,"download",172.39133138667,"mean","Mb/sec"
51059491705,"tract","Census Tract 4917.05, Fairfax County, Virginia",2020,"download",168.811961406063,"mean","Mb/sec"
51153901511,"tract","Census Tract 9015.11, Prince William County, Virginia",2019,"download",164.4848892901,"mean","Mb/sec"
51107610504,"tract","Census Tract 6105.04, Loudoun County, Virginia",2020,"download",167.301755649305,"mean","Mb/sec"
51059482201,"tract","Census Tract 4822.01, Fairfax County, Virginia",2019,"download",160.000502658954,"mean","Mb/sec"
51059461601,"tract","Census Tract 4616.01, Fairfax County, Virginia",2020,"download",152.878408643773,"mean","Mb/sec"
51683910202,"tract","Census Tract 9102.02, Manassas city, Virginia",2019,"download",140.34148232569,"mean","Mb/sec"
51059481106,"tract","Census Tract 4811.06, Fairfax County, Virginia",2020,"download",156.253438084979,"mean","Mb/sec"
51059430802,"tract","Census Tract 4308.02, Fairfax County, Virginia",2019,"download",116.323668881961,"mean","Mb/sec"
51059422201,"tract","Census Tract 4222.01, Fairfax County, Virginia",2019,"download",134.117184863528,"mean","Mb/sec"
51059480501,"tract","Census Tract 4805.01, Fairfax County, Virginia",2021,"download",192.139998088167,"mean","Mb/sec"
51059430203,"tract","Census Tract 4302.03, Fairfax County, Virginia",2019,"download",123.376835200573,"mean","Mb/sec"
51059492202,"tract","Census Tract 4922.02, Fairfax County, Virginia",2020,"download",149.916215805203,"mean","Mb/sec"
51013102302,"tract","Census Tract 1023.02, Arlington County, Virginia",2019,"download",141.688169115675,"mean","Mb/sec"
51510200106,"tract","Census Tract 2001.06, Alexandria city, Virginia",2021,"download",207.29335874367,"mean","Mb/sec"
51059450702,"tract","Census Tract 4507.02, Fairfax County, Virginia",2019,"download",148.102492660406,"mean","Mb/sec"
51510200404,"tract","Census Tract 2004.04, Alexandria city, Virginia",2019,"download",141.281480503973,"mean","Mb/sec"
51059452700,"tract","Census Tract 4527, Fairfax County, Virginia",2019,"download",119.899923365978,"mean","Mb/sec"
51510,"county","Alexandria city, Virginia",2021,"download",198.334756613908,"mean","Mb/sec"
51153901306,"tract","Census Tract 9013.06, Prince William County, Virginia",2021,"download",195.918778188238,"mean","Mb/sec"
51153900407,"tract","Census Tract 9004.07, Prince William County, Virginia",2020,"download",180.464174695543,"mean","Mb/sec"
51153901233,"tract","Census Tract 9012.33, Prince William County, Virginia",2021,"download",193.956427870828,"mean","Mb/sec"
51059482400,"tract","Census Tract 4824, Fairfax County, Virginia",2019,"download",101.455321113916,"mean","Mb/sec"
51059480505,"tract","Census Tract 4805.05, Fairfax County, Virginia",2020,"download",191.958020070905,"mean","Mb/sec"
51059492201,"tract","Census Tract 4922.01, Fairfax County, Virginia",2020,"download",154.050654422306,"mean","Mb/sec"
51059491801,"tract","Census Tract 4918.01, Fairfax County, Virginia",2019,"download",118.781748936012,"mean","Mb/sec"
51107610202,"tract","Census Tract 6102.02, Loudoun County, Virginia",2021,"download",200.599090830124,"mean","Mb/sec"
51059491803,"tract","Census Tract 4918.03, Fairfax County, Virginia",2019,"download",132.904836625903,"mean","Mb/sec"
51059460200,"tract","Census Tract 4602, Fairfax County, Virginia",2020,"download",144.559650483339,"mean","Mb/sec"
51059460502,"tract","Census Tract 4605.02, Fairfax County, Virginia",2019,"download",142.414934665064,"mean","Mb/sec"
51059492201,"tract","Census Tract 4922.01, Fairfax County, Virginia",2021,"download",185.122780065475,"mean","Mb/sec"
51107611005,"tract","Census Tract 6110.05, Loudoun County, Virginia",2021,"download",194.501767059231,"mean","Mb/sec"
51059451100,"tract","Census Tract 4511, Fairfax County, Virginia",2021,"download",177.12577619375,"mean","Mb/sec"
51107611014,"tract","Census Tract 6110.14, Loudoun County, Virginia",2020,"download",171.292209677137,"mean","Mb/sec"
51153900202,"tract","Census Tract 9002.02, Prince William County, Virginia",2020,"download",153.287385204948,"mean","Mb/sec"
51059452200,"tract","Census Tract 4522, Fairfax County, Virginia",2021,"download",186.816242191011,"mean","Mb/sec"
51153900901,"tract","Census Tract 9009.01, Prince William County, Virginia",2019,"download",149.826058737088,"mean","Mb/sec"
51013101702,"tract","Census Tract 1017.02, Arlington County, Virginia",2020,"download",101.247187427067,"mean","Mb/sec"
51059422302,"tract","Census Tract 4223.02, Fairfax County, Virginia",2019,"download",145.131584200003,"mean","Mb/sec"
51153901410,"tract","Census Tract 9014.10, Prince William County, Virginia",2020,"download",173.145557204353,"mean","Mb/sec"
51059461202,"tract","Census Tract 4612.02, Fairfax County, Virginia",2019,"download",133.844141751813,"mean","Mb/sec"
51059480401,"tract","Census Tract 4804.01, Fairfax County, Virginia",2020,"download",156.265111192003,"mean","Mb/sec"
51153901411,"tract","Census Tract 9014.11, Prince William County, Virginia",2020,"download",179.045582703745,"mean","Mb/sec"
51059492000,"tract","Census Tract 4920, Fairfax County, Virginia",2021,"download",186.452598861165,"mean","Mb/sec"
51059491403,"tract","Census Tract 4914.03, Fairfax County, Virginia",2021,"download",178.92963166432,"mean","Mb/sec"
51059492100,"tract","Census Tract 4921, Fairfax County, Virginia",2020,"download",140.665047612139,"mean","Mb/sec"
51013102500,"tract","Census Tract 1025, Arlington County, Virginia",2020,"download",176.52442163349,"mean","Mb/sec"
51107611801,"tract","Census Tract 6118.01, Loudoun County, Virginia",2020,"download",170.17960657406,"mean","Mb/sec"
