"","geoid","region_type","region_name","year","measure","value","measure_type"
"1785",51153901408,"tract","Census Tract 9014.08, Prince William County, Virginia",2021,"median_drive_time_top5",33.5,"median"
"1786",51059451000,"tract","Census Tract 4510, Fairfax County, Virginia",2021,"median_drive_time_top10",15.6,"median"
"1787",51153901305,"tract","Census Tract 9013.05, Prince William County, Virginia",2021,"mean_drive_time_top10",49.24,"mean"
"1788",51107611020,"tract","Census Tract 6110.20, Loudoun County, Virginia",2021,"median_drive_time_top5",24.2,"median"
"1789",51013100700,"tract","Census Tract 1007, Arlington County, Virginia",2021,"mean_drive_time_top10",12.04,"mean"
"1790",51059482303,"tract","Census Tract 4823.03, Fairfax County, Virginia",2021,"median_drive_time_top5",12.7,"median"
"1791",51059452502,"tract","Census Tract 4525.02, Fairfax County, Virginia",2021,"mean_drive_time_top5",15.6,"mean"
"1792",51153901211,"tract","Census Tract 9012.11, Prince William County, Virginia",2021,"mean_drive_time_top5",33.42,"mean"
"1793",51059450100,"tract","Census Tract 4501, Fairfax County, Virginia",2021,"mean_drive_time_top10",11.5,"mean"
"1794",51153900407,"tract","Census Tract 9004.07, Prince William County, Virginia",2021,"median_drive_time_top5",42.1,"median"
"1795",51059480505,"tract","Census Tract 4805.05, Fairfax County, Virginia",2021,"mean_drive_time_top5",13.6,"mean"
"1796",51510200202,"tract","Census Tract 2002.02, Alexandria city, Virginia",2021,"median_drive_time_top5",15.9,"median"
"1797",51059491705,"tract","Census Tract 4917.05, Fairfax County, Virginia",2021,"median_drive_time_top10",26.9,"median"
"1798",51153901208,"tract","Census Tract 9012.08, Prince William County, Virginia",2021,"mean_drive_time_top10",28.44,"mean"
"1799",51107610202,"tract","Census Tract 6102.02, Loudoun County, Virginia",2021,"mean_drive_time_top5",56.2,"mean"
"1800",51059432201,"tract","Census Tract 4322.01, Fairfax County, Virginia",2021,"median_drive_time_top10",24.3,"median"
"1801",51683,"county","Manassas city, Virginia",2021,"mean_drive_time_top10",41.9,"mean"
"1802",51059460200,"tract","Census Tract 4602, Fairfax County, Virginia",2021,"median_drive_time_top5",11.2,"median"
"1803",51059451502,"tract","Census Tract 4515.02, Fairfax County, Virginia",2021,"mean_drive_time_top10",12.94,"mean"
"1804",51059432000,"tract","Census Tract 4320, Fairfax County, Virginia",2021,"median_drive_time_top10",24.9,"median"
"1805",51059430901,"tract","Census Tract 4309.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",21.66,"mean"
"1806",51107611013,"tract","Census Tract 6110.13, Loudoun County, Virginia",2021,"mean_drive_time_top5",30.98,"mean"
"1807",51153901229,"tract","Census Tract 9012.29, Prince William County, Virginia",2021,"mean_drive_time_top10",40.74,"mean"
"1808",51013101100,"tract","Census Tract 1011, Arlington County, Virginia",2021,"median_drive_time_top5",10.5,"median"
"1809",51059415800,"tract","Census Tract 4158, Fairfax County, Virginia",2021,"median_drive_time_top10",30.3,"median"
"1810",51059471401,"tract","Census Tract 4714.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",10.9,"mean"
"1811",51107611019,"tract","Census Tract 6110.19, Loudoun County, Virginia",2021,"mean_drive_time_top10",27.36,"mean"
"1812",51153900502,"tract","Census Tract 9005.02, Prince William County, Virginia",2021,"median_drive_time_top10",35.4,"median"
"1813",51510200702,"tract","Census Tract 2007.02, Alexandria city, Virginia",2021,"mean_drive_time_top10",20.6,"mean"
"1814",51510200500,"tract","Census Tract 2005, Alexandria city, Virginia",2021,"median_drive_time_top5",15.6,"median"
"1815",51013103602,"tract","Census Tract 1036.02, Arlington County, Virginia",2021,"median_drive_time_top5",15.1,"median"
"1816",51153900100,"tract","Census Tract 9001, Prince William County, Virginia",2021,"mean_drive_time_top5",27.5,"mean"
"1817",51059431002,"tract","Census Tract 4310.02, Fairfax County, Virginia",2021,"mean_drive_time_top10",23.64,"mean"
"1818",51059451601,"tract","Census Tract 4516.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",13.02,"mean"
"1819",51059431900,"tract","Census Tract 4319, Fairfax County, Virginia",2021,"median_drive_time_top5",20.9,"median"
"1820",51059491405,"tract","Census Tract 4914.05, Fairfax County, Virginia",2021,"median_drive_time_top10",30.3,"median"
"1821",51013102400,"tract","Census Tract 1024, Arlington County, Virginia",2021,"median_drive_time_top5",15.3,"median"
"1822",51059492201,"tract","Census Tract 4922.01, Fairfax County, Virginia",2021,"median_drive_time_top5",33.4,"median"
"1823",51059450702,"tract","Census Tract 4507.02, Fairfax County, Virginia",2021,"median_drive_time_top10",13.9,"median"
"1824",51059482504,"tract","Census Tract 4825.04, Fairfax County, Virginia",2021,"mean_drive_time_top10",19.66,"mean"
"1825",51059432401,"tract","Census Tract 4324.01, Fairfax County, Virginia",2021,"median_drive_time_top10",25.8,"median"
"1826",51059491702,"tract","Census Tract 4917.02, Fairfax County, Virginia",2021,"mean_drive_time_top10",19.6,"mean"
"1827",51683910202,"tract","Census Tract 9102.02, Manassas city, Virginia",2021,"mean_drive_time_top5",34.84,"mean"
"1828",51510200107,"tract","Census Tract 2001.07, Alexandria city, Virginia",2021,"mean_drive_time_top5",14.48,"mean"
"1829",51153901410,"tract","Census Tract 9014.10, Prince William County, Virginia",2021,"median_drive_time_top10",38.4,"median"
"1830",51059492400,"tract","Census Tract 4924, Fairfax County, Virginia",2021,"median_drive_time_top5",30.1,"median"
"1831",51153901233,"tract","Census Tract 9012.33, Prince William County, Virginia",2021,"median_drive_time_top10",44.6,"median"
"1832",51153901211,"tract","Census Tract 9012.11, Prince William County, Virginia",2021,"median_drive_time_top10",41.4,"median"
"1833",51059491501,"tract","Census Tract 4915.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",25.18,"mean"
"1834",51059421101,"tract","Census Tract 4211.01, Fairfax County, Virginia",2021,"median_drive_time_top10",25,"median"
"1835",51510200900,"tract","Census Tract 2009, Alexandria city, Virginia",2021,"mean_drive_time_top10",17.9,"mean"
"1836",51059432201,"tract","Census Tract 4322.01, Fairfax County, Virginia",2021,"median_drive_time_top5",24.3,"median"
"1837",51153901408,"tract","Census Tract 9014.08, Prince William County, Virginia",2021,"mean_drive_time_top5",34.4,"mean"
