"geoid","region_type","region_name","year","measure","value","measure_type","measure_units"
51059420502,"tract","Census Tract 4205.02, Fairfax County, Virginia",2018,"perc_w_cable_fiber_DSL",0.869294605809129,"percentage","person"
51059450100,"tract","Census Tract 4501, Fairfax County, Virginia",2018,"perc_w_cable_fiber_DSL",0.862918215613383,"percentage","person"
51059451100,"tract","Census Tract 4511, Fairfax County, Virginia",2018,"perc_w_cable_fiber_DSL",0.876747141041931,"percentage","person"
51059422101,"tract","Census Tract 4221.01, Fairfax County, Virginia",2018,"perc_w_cable_fiber_DSL",0.923952826352176,"percentage","person"
51059491403,"tract","Census Tract 4914.03, Fairfax County, Virginia",2018,"perc_w_cable_fiber_DSL",0.934554973821989,"percentage","person"
51059450200,"tract","Census Tract 4502, Fairfax County, Virginia",2017,"perc_w_cable_fiber_DSL",0.737931034482759,"percentage","person"
51013100600,"tract","Census Tract 1006, Arlington County, Virginia",2017,"perc_w_cable_fiber_DSL",0.829439252336449,"percentage","person"
51510200202,"tract","Census Tract 2002.02, Alexandria city, Virginia",2017,"perc_w_cable_fiber_DSL",0.928343949044586,"percentage","person"
51013100100,"tract","Census Tract 1001, Arlington County, Virginia",2019,"perc_w_cable_fiber_DSL",0.878596087456847,"percentage","person"
51059480902,"tract","Census Tract 4809.02, Fairfax County, Virginia",2017,"perc_w_cable_fiber_DSL",0.901438848920863,"percentage","person"
51107611204,"tract","Census Tract 6112.04, Loudoun County, Virginia",2019,"perc_w_cable_fiber_DSL",0.834519572953737,"percentage","person"
51059480300,"tract","Census Tract 4803, Fairfax County, Virginia",2018,"perc_w_cable_fiber_DSL",0.926573426573427,"percentage","person"
51059491404,"tract","Census Tract 4914.04, Fairfax County, Virginia",2019,"perc_w_cable_fiber_DSL",0.944983818770227,"percentage","person"
