"","geoid","region_type","region_name","year","measure","value","measure_type"
"1",51013100100,"tract","Census Tract 1001",2021,"ped_fca",0.036408532393164,"index"
"2",51013100200,"tract","Census Tract 1002",2021,"ped_fca",0.0384015568878043,"index"
"3",51013100300,"tract","Census Tract 1003",2021,"ped_fca",0.0447750739652854,"index"
"4",51013100400,"tract","Census Tract 1004",2021,"ped_fca",0.0440937415334598,"index"
"5",51013100500,"tract","Census Tract 1005",2021,"ped_fca",0.038580092387613,"index"
"6",51013100600,"tract","Census Tract 1006",2021,"ped_fca",0.0385250611666661,"index"
"7",51013100700,"tract","Census Tract 1007",2021,"ped_fca",0.0383607529414015,"index"
"8",51013100800,"tract","Census Tract 1008",2021,"ped_fca",0.0383163354243428,"index"
"9",51013100900,"tract","Census Tract 1009",2021,"ped_fca",0.0382275795311534,"index"
"10",51013101000,"tract","Census Tract 1010",2021,"ped_fca",0.0365072080945559,"index"
"11",51013101100,"tract","Census Tract 1011",2021,"ped_fca",0.0363034800278642,"index"
"12",51013101200,"tract","Census Tract 1012",2021,"ped_fca",0.0377968302844752,"index"
"13",51013101300,"tract","Census Tract 1013",2021,"ped_fca",0.0376507628115472,"index"
"14",51013101401,"tract","Census Tract 1014.01",2021,"ped_fca",0.035933416813343,"index"
"15",51013101402,"tract","Census Tract 1014.02",2021,"ped_fca",0.037494651698807,"index"
"16",51013101403,"tract","Census Tract 1014.03",2021,"ped_fca",0.037494651698807,"index"
"17",51013101404,"tract","Census Tract 1014.04",2021,"ped_fca",0.0374637016881554,"index"
"18",51013101500,"tract","Census Tract 1015",2021,"ped_fca",0.0385223060638101,"index"
"19",51013101601,"tract","Census Tract 1016.01",2021,"ped_fca",0.0380080160463265,"index"
"20",51013101602,"tract","Census Tract 1016.02",2021,"ped_fca",0.0402105084679444,"index"
"21",51013101603,"tract","Census Tract 1016.03",2021,"ped_fca",0.0384451104696842,"index"
"22",51013101701,"tract","Census Tract 1017.01",2021,"ped_fca",0.0412754270974054,"index"
"23",51013101702,"tract","Census Tract 1017.02",2021,"ped_fca",0.0407970249802564,"index"
"24",51013101703,"tract","Census Tract 1017.03",2021,"ped_fca",0.0418955383457881,"index"
"25",51013101801,"tract","Census Tract 1018.01",2021,"ped_fca",0.0400407572542071,"index"
"26",51013101802,"tract","Census Tract 1018.02",2021,"ped_fca",0.0410022151065581,"index"
"27",51013101803,"tract","Census Tract 1018.03",2021,"ped_fca",0.039574754791141,"index"
"28",51013101900,"tract","Census Tract 1019",2021,"ped_fca",0.039006948461991,"index"
"29",51013102001,"tract","Census Tract 1020.01",2021,"ped_fca",0.0375385872260963,"index"
"30",51013102002,"tract","Census Tract 1020.02",2021,"ped_fca",0.0375536092308878,"index"
"31",51013102003,"tract","Census Tract 1020.03",2021,"ped_fca",0.037622588288126,"index"
"32",51013102100,"tract","Census Tract 1021",2021,"ped_fca",0.0362528090208883,"index"
"33",51013102200,"tract","Census Tract 1022",2021,"ped_fca",0.0375064891163936,"index"
"34",51013102301,"tract","Census Tract 1023.01",2021,"ped_fca",0.0387445575246118,"index"
"35",51013102302,"tract","Census Tract 1023.02",2021,"ped_fca",0.0370206115648866,"index"
"36",51013102400,"tract","Census Tract 1024",2021,"ped_fca",0.0387228524715448,"index"
"37",51013102500,"tract","Census Tract 1025",2021,"ped_fca",0.0379622874322452,"index"
"38",51013102600,"tract","Census Tract 1026",2021,"ped_fca",0.0377491920142307,"index"
"39",51013102701,"tract","Census Tract 1027.01",2021,"ped_fca",0.0375203170480606,"index"
"40",51013102702,"tract","Census Tract 1027.02",2021,"ped_fca",0.037931321968731,"index"
"41",51013102801,"tract","Census Tract 1028.01",2021,"ped_fca",0.037544246714833,"index"
"42",51013102802,"tract","Census Tract 1028.02",2021,"ped_fca",0.0373788930346318,"index"
"43",51013102901,"tract","Census Tract 1029.01",2021,"ped_fca",0.037931321968731,"index"
"44",51013102902,"tract","Census Tract 1029.02",2021,"ped_fca",0.0373788930346318,"index"
"45",51013103000,"tract","Census Tract 1030",2021,"ped_fca",0.0366711386139773,"index"
"46",51013103100,"tract","Census Tract 1031",2021,"ped_fca",0.0372996687259379,"index"
"47",51013103200,"tract","Census Tract 1032",2021,"ped_fca",0.0377491920142307,"index"
"48",51013103300,"tract","Census Tract 1033",2021,"ped_fca",0.0379216857133052,"index"
"49",51013103401,"tract","Census Tract 1034.01",2021,"ped_fca",0.0420650642152533,"index"
"50",51013103402,"tract","Census Tract 1034.02",2021,"ped_fca",0.0400149418392922,"index"
"51",51013103501,"tract","Census Tract 1035.01",2021,"ped_fca",0.0388940895528547,"index"
"52",51013103502,"tract","Census Tract 1035.02",2021,"ped_fca",0.0380301895977548,"index"
"53",51013103503,"tract","Census Tract 1035.03",2021,"ped_fca",0.038929948254891,"index"
"54",51013103601,"tract","Census Tract 1036.01",2021,"ped_fca",0.0391016181229773,"index"
"55",51013103602,"tract","Census Tract 1036.02",2021,"ped_fca",0.0392005649313408,"index"
"56",51013103700,"tract","Census Tract 1037",2021,"ped_fca",0.0393094375993123,"index"
"57",51013103800,"tract","Census Tract 1038",2021,"ped_fca",0.0381493977092598,"index"
"58",51059415100,"tract","Census Tract 4151",2021,"ped_fca",0.0395190274472584,"index"
"59",51059415200,"tract","Census Tract 4152",2021,"ped_fca",0.0407835377334111,"index"
"60",51059415300,"tract","Census Tract 4153",2021,"ped_fca",0.0412501008724345,"index"
"61",51059415401,"tract","Census Tract 4154.01",2021,"ped_fca",0.0401790719166149,"index"
"62",51059415402,"tract","Census Tract 4154.02",2021,"ped_fca",0.0365666089420909,"index"
"63",51059415500,"tract","Census Tract 4155",2021,"ped_fca",0.0368500757193337,"index"
"64",51059415600,"tract","Census Tract 4156",2021,"ped_fca",0.0396147045217745,"index"
"65",51059415700,"tract","Census Tract 4157",2021,"ped_fca",0.010509484326039,"index"
"66",51059415800,"tract","Census Tract 4158",2021,"ped_fca",0.0104494088499751,"index"
"67",51059415900,"tract","Census Tract 4159",2021,"ped_fca",0.0372856014204039,"index"
"68",51059416000,"tract","Census Tract 4160",2021,"ped_fca",0.0371456237106892,"index"
"69",51059416100,"tract","Census Tract 4161",2021,"ped_fca",0.0394737643790213,"index"
"70",51059416200,"tract","Census Tract 4162",2021,"ped_fca",0.0375516347633575,"index"
"71",51059416300,"tract","Census Tract 4163",2021,"ped_fca",0.00972017527861709,"index"
"72",51059420100,"tract","Census Tract 4201",2021,"ped_fca",0.0340512223515716,"index"
"73",51059420201,"tract","Census Tract 4202.01",2021,"ped_fca",0.0353869545453528,"index"
"74",51059420202,"tract","Census Tract 4202.02",2021,"ped_fca",0.0350907354557625,"index"
"75",51059420203,"tract","Census Tract 4202.03",2021,"ped_fca",0.0366401227829559,"index"
"76",51059420300,"tract","Census Tract 4203",2021,"ped_fca",0.0380972560912129,"index"
"77",51059420400,"tract","Census Tract 4204",2021,"ped_fca",0.0382828097461484,"index"
"78",51059420501,"tract","Census Tract 4205.01",2021,"ped_fca",0.0400959750873178,"index"
"79",51059420502,"tract","Census Tract 4205.02",2021,"ped_fca",0.0382828097461484,"index"
"80",51059420503,"tract","Census Tract 4205.03",2021,"ped_fca",0.0384412659919329,"index"
"81",51059420600,"tract","Census Tract 4206",2021,"ped_fca",0.0397022645732992,"index"
"82",51059420700,"tract","Census Tract 4207",2021,"ped_fca",0.0376021038227383,"index"
"83",51059420800,"tract","Census Tract 4208",2021,"ped_fca",0.0386390968693021,"index"
"84",51059421001,"tract","Census Tract 4210.01",2021,"ped_fca",0.0350860477843831,"index"
"85",51059421002,"tract","Census Tract 4210.02",2021,"ped_fca",0.034565060856512,"index"
"86",51059421101,"tract","Census Tract 4211.01",2021,"ped_fca",0.0356883932199223,"index"
"87",51059421102,"tract","Census Tract 4211.02",2021,"ped_fca",0.0346966233141182,"index"
"88",51059421103,"tract","Census Tract 4211.03",2021,"ped_fca",0.035945769710208,"index"
"89",51059421200,"tract","Census Tract 4212",2021,"ped_fca",0.0352614067594292,"index"
"90",51059421300,"tract","Census Tract 4213",2021,"ped_fca",0.046489392038857,"index"
"91",51059421400,"tract","Census Tract 4214",2021,"ped_fca",0.0384764991026711,"index"
"92",51059421500,"tract","Census Tract 4215",2021,"ped_fca",0.0366610393019043,"index"
"93",51059421600,"tract","Census Tract 4216",2021,"ped_fca",0.0360501592755994,"index"
"94",51059421701,"tract","Census Tract 4217.01",2021,"ped_fca",0.0369775986200927,"index"
"95",51059421702,"tract","Census Tract 4217.02",2021,"ped_fca",0.0379063311690996,"index"
"96",51059421800,"tract","Census Tract 4218",2021,"ped_fca",0.0386585830652095,"index"
"97",51059421900,"tract","Census Tract 4219",2021,"ped_fca",0.0369640341782129,"index"
"98",51059422000,"tract","Census Tract 4220",2021,"ped_fca",0.0351805590128374,"index"
"99",51059422101,"tract","Census Tract 4221.01",2021,"ped_fca",0.0362578144067895,"index"
"100",51059422102,"tract","Census Tract 4221.02",2021,"ped_fca",0.0356385956108012,"index"
"101",51059422201,"tract","Census Tract 4222.01",2021,"ped_fca",0.0111257753728389,"index"
"102",51059422202,"tract","Census Tract 4222.02",2021,"ped_fca",0.0377790142280095,"index"
"103",51059422301,"tract","Census Tract 4223.01",2021,"ped_fca",0.0357811859412126,"index"
"104",51059422302,"tract","Census Tract 4223.02",2021,"ped_fca",0.0364076125007956,"index"
"105",51059422401,"tract","Census Tract 4224.01",2021,"ped_fca",0.0352651578946194,"index"
"106",51059422402,"tract","Census Tract 4224.02",2021,"ped_fca",0.0359966613378822,"index"
"107",51059422403,"tract","Census Tract 4224.03",2021,"ped_fca",0.0358788605724398,"index"
"108",51059430101,"tract","Census Tract 4301.01",2021,"ped_fca",0.0291273221360797,"index"
"109",51059430102,"tract","Census Tract 4301.02",2021,"ped_fca",0.0318410891692139,"index"
"110",51059430201,"tract","Census Tract 4302.01",2021,"ped_fca",0.0330837771384968,"index"
"111",51059430202,"tract","Census Tract 4302.02",2021,"ped_fca",0.0329952453908795,"index"
"112",51059430203,"tract","Census Tract 4302.03",2021,"ped_fca",0.0295586401851912,"index"
"113",51059430400,"tract","Census Tract 4304",2021,"ped_fca",0.0325723342316777,"index"
"114",51059430500,"tract","Census Tract 4305",2021,"ped_fca",0.032919566133824,"index"
"115",51059430600,"tract","Census Tract 4306",2021,"ped_fca",0.0337213261402399,"index"
"116",51059430700,"tract","Census Tract 4307",2021,"ped_fca",0.0339643979281024,"index"
"117",51059430801,"tract","Census Tract 4308.01",2021,"ped_fca",0.0326996775412369,"index"
"118",51059430802,"tract","Census Tract 4308.02",2021,"ped_fca",0.0327962743223738,"index"
"119",51059430901,"tract","Census Tract 4309.01",2021,"ped_fca",0.0329232321625125,"index"
"120",51059430902,"tract","Census Tract 4309.02",2021,"ped_fca",0.0319461455041844,"index"
"121",51059431001,"tract","Census Tract 4310.01",2021,"ped_fca",0.0315797424812904,"index"
"122",51059431002,"tract","Census Tract 4310.02",2021,"ped_fca",0.0327620156604116,"index"
"123",51059431300,"tract","Census Tract 4313",2021,"ped_fca",0.0324131946551452,"index"
"124",51059431400,"tract","Census Tract 4314",2021,"ped_fca",0.032263676555291,"index"
