"","geoid","region_type","region_name","year","measure","value","measure_type"
"1",51059480802,"tract","Census Tract 4808.02, Fairfax County, Virginia",2021,"median_drive_time_top10",3.7,"median"
"2",51059491501,"tract","Census Tract 4915.01, Fairfax County, Virginia",2021,"median_drive_time_top5",2.9,"median"
"3",51107611011,"tract","Census Tract 6110.11, Loudoun County, Virginia",2021,"mean_drive_time_top5",3.32,"mean"
"4",51059452000,"tract","Census Tract 4520, Fairfax County, Virginia",2021,"median_drive_time_top10",3.6,"median"
"5",51013101601,"tract","Census Tract 1016.01, Arlington County, Virginia",2021,"mean_drive_time_top10",3.07272727272727,"mean"
"6",51153901208,"tract","Census Tract 9012.08, Prince William County, Virginia",2021,"median_drive_time_top10",4.05,"median"
"7",51059415200,"tract","Census Tract 4152, Fairfax County, Virginia",2021,"mean_drive_time_top5",3.44,"mean"
"8",51059491000,"tract","Census Tract 4910, Fairfax County, Virginia",2021,"mean_drive_time_top10",10.91,"mean"
"9",51059492300,"tract","Census Tract 4923, Fairfax County, Virginia",2021,"median_drive_time_top5",1.8,"median"
"10",51059452700,"tract","Census Tract 4527, Fairfax County, Virginia",2021,"median_drive_time_top5",2,"median"
"11",51059480503,"tract","Census Tract 4805.03, Fairfax County, Virginia",2021,"median_drive_time_top10",4.45,"median"
"12",51059420300,"tract","Census Tract 4203, Fairfax County, Virginia",2021,"median_drive_time_top10",3.8,"median"
"13",51059461901,"tract","Census Tract 4619.01, Fairfax County, Virginia",2021,"median_drive_time_top10",4.4,"median"
"14",51153901507,"tract","Census Tract 9015.07, Prince William County, Virginia",2021,"mean_drive_time_top5",2.26,"mean"
"15",51059492400,"tract","Census Tract 4924, Fairfax County, Virginia",2021,"mean_drive_time_top5",2.86,"mean"
"16",51059452802,"tract","Census Tract 4528.02, Fairfax County, Virginia",2021,"median_drive_time_top5",2.3,"median"
"17",51059481702,"tract","Census Tract 4817.02, Fairfax County, Virginia",2021,"median_drive_time_top5",4.9,"median"
"18",51013101404,"tract","Census Tract 1014.04, Arlington County, Virginia",2021,"mean_drive_time_top5",1.24,"mean"
"19",51107611102,"tract","Census Tract 6111.02, Loudoun County, Virginia",2021,"median_drive_time_top10",3.85,"median"
"20",51059492100,"tract","Census Tract 4921, Fairfax County, Virginia",2021,"median_drive_time_top10",6.3,"median"
"21",51059451900,"tract","Census Tract 4519, Fairfax County, Virginia",2021,"median_drive_time_top10",2,"median"
"22",51107611015,"tract","Census Tract 6110.15, Loudoun County, Virginia",2021,"median_drive_time_top10",3.8,"median"
"23",51059491302,"tract","Census Tract 4913.02, Fairfax County, Virginia",2021,"mean_drive_time_top5",3.14,"mean"
"24",51153901011,"tract","Census Tract 9010.11, Prince William County, Virginia",2021,"mean_drive_time_top5",5.4,"mean"
"25",51059492300,"tract","Census Tract 4923, Fairfax County, Virginia",2021,"median_drive_time_top10",2.4,"median"
"26",51013102400,"tract","Census Tract 1024, Arlington County, Virginia",2021,"median_drive_time_top5",1.8,"median"
"27",51059491402,"tract","Census Tract 4914.02, Fairfax County, Virginia",2021,"mean_drive_time_top5",2.38,"mean"
"28",51510200702,"tract","Census Tract 2007.02, Alexandria city, Virginia",2021,"median_drive_time_top5",1.7,"median"
"29",51059421200,"tract","Census Tract 4212, Fairfax County, Virginia",2021,"median_drive_time_top10",4.2,"median"
"30",51059421600,"tract","Census Tract 4216, Fairfax County, Virginia",2021,"median_drive_time_top5",1.75,"median"
"31",51153901203,"tract","Census Tract 9012.03, Prince William County, Virginia",2021,"mean_drive_time_top5",2.82,"mean"
"32",51059430400,"tract","Census Tract 4304, Fairfax County, Virginia",2021,"mean_drive_time_top5",1.78,"mean"
"33",51153900201,"tract","Census Tract 9002.01, Prince William County, Virginia",2021,"mean_drive_time_top5",1.76666666666667,"mean"
"34",51059482501,"tract","Census Tract 4825.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",5.28,"mean"
"35",51059451502,"tract","Census Tract 4515.02, Fairfax County, Virginia",2021,"mean_drive_time_top10",1.84,"mean"
"36",51013100700,"tract","Census Tract 1007, Arlington County, Virginia",2021,"mean_drive_time_top10",2.34,"mean"
"37",51059480903,"tract","Census Tract 4809.03, Fairfax County, Virginia",2021,"median_drive_time_top10",2.9,"median"
"38",51059430201,"tract","Census Tract 4302.01, Fairfax County, Virginia",2021,"median_drive_time_top5",4.5,"median"
"39",51059415300,"tract","Census Tract 4153, Fairfax County, Virginia",2021,"median_drive_time_top10",3.2,"median"
"40",51059431900,"tract","Census Tract 4319, Fairfax County, Virginia",2021,"median_drive_time_top10",4.2,"median"
