geoid,measure,value,year,region_type,measure_type,region_name
110010001001,pop_fem_over14,710,2021,block group,count,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia"
110010001002,pop_fem_over14,653,2021,block group,count,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia"
110010001003,pop_fem_over14,497,2021,block group,count,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia"
110010001004,pop_fem_over14,461,2021,block group,count,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia"
110010002011,pop_fem_over14,2201,2021,block group,count,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia"
110010002021,pop_fem_over14,527,2021,block group,count,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia"
110010002022,pop_fem_over14,346,2021,block group,count,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia"
110010002023,pop_fem_over14,437,2021,block group,count,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia"
110010002024,pop_fem_over14,983,2021,block group,count,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia"
110010003001,pop_fem_over14,593,2021,block group,count,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia"
110010003002,pop_fem_over14,800,2021,block group,count,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia"
110010003003,pop_fem_over14,978,2021,block group,count,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia"
110010003004,pop_fem_over14,704,2021,block group,count,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia"
110010004001,pop_fem_over14,234,2021,block group,count,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia"
110010004002,pop_fem_over14,460,2021,block group,count,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia"
110010005011,pop_fem_over14,613,2021,block group,count,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia"
110010005012,pop_fem_over14,1054,2021,block group,count,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia"
110010005021,pop_fem_over14,887,2021,block group,count,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia"
110010005022,pop_fem_over14,836,2021,block group,count,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia"
110010006001,pop_fem_over14,634,2021,block group,count,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia"
110010006002,pop_fem_over14,493,2021,block group,count,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia"
110010006003,pop_fem_over14,345,2021,block group,count,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia"
110010006004,pop_fem_over14,968,2021,block group,count,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia"
110010007011,pop_fem_over14,732,2021,block group,count,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia"
110010007012,pop_fem_over14,483,2021,block group,count,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia"
110010007013,pop_fem_over14,1091,2021,block group,count,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia"
110010007014,pop_fem_over14,596,2021,block group,count,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia"
110010007021,pop_fem_over14,859,2021,block group,count,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia"
110010007022,pop_fem_over14,552,2021,block group,count,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia"
110010007023,pop_fem_over14,331,2021,block group,count,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia"
110010008011,pop_fem_over14,1156,2021,block group,count,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia"
110010008012,pop_fem_over14,590,2021,block group,count,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia"
110010008013,pop_fem_over14,1145,2021,block group,count,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia"
110010008014,pop_fem_over14,426,2021,block group,count,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia"
110010008021,pop_fem_over14,1063,2021,block group,count,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia"
110010008022,pop_fem_over14,583,2021,block group,count,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia"
110010009011,pop_fem_over14,617,2021,block group,count,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia"
110010009012,pop_fem_over14,781,2021,block group,count,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia"
110010009013,pop_fem_over14,2413,2021,block group,count,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia"
110010009021,pop_fem_over14,431,2021,block group,count,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia"
110010009022,pop_fem_over14,625,2021,block group,count,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia"
110010010011,pop_fem_over14,339,2021,block group,count,"Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia"
110010010012,pop_fem_over14,857,2021,block group,count,"Block Group 2, Census Tract 10.01, District of Columbia, District of Columbia"
110010010013,pop_fem_over14,340,2021,block group,count,"Block Group 3, Census Tract 10.01, District of Columbia, District of Columbia"
110010010014,pop_fem_over14,691,2021,block group,count,"Block Group 4, Census Tract 10.01, District of Columbia, District of Columbia"
110010010015,pop_fem_over14,404,2021,block group,count,"Block Group 5, Census Tract 10.01, District of Columbia, District of Columbia"
110010010016,pop_fem_over14,469,2021,block group,count,"Block Group 6, Census Tract 10.01, District of Columbia, District of Columbia"
110010010021,pop_fem_over14,570,2021,block group,count,"Block Group 1, Census Tract 10.02, District of Columbia, District of Columbia"
110010010022,pop_fem_over14,707,2021,block group,count,"Block Group 2, Census Tract 10.02, District of Columbia, District of Columbia"
110010010023,pop_fem_over14,476,2021,block group,count,"Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia"
110010011001,pop_fem_over14,963,2021,block group,count,"Block Group 1, Census Tract 11, District of Columbia, District of Columbia"
110010011002,pop_fem_over14,763,2021,block group,count,"Block Group 2, Census Tract 11, District of Columbia, District of Columbia"
110010011003,pop_fem_over14,299,2021,block group,count,"Block Group 3, Census Tract 11, District of Columbia, District of Columbia"
110010011004,pop_fem_over14,334,2021,block group,count,"Block Group 4, Census Tract 11, District of Columbia, District of Columbia"
