"","geoid","region_type","region_name","year","measure","value","measure_type"
"125",51059431001,"tract","Census Tract 4310.01, Fairfax County, Virginia",2021,"median_drive_time_top10",46.75,"median"
"126",51059481500,"tract","Census Tract 4815, Fairfax County, Virginia",2021,"median_drive_time_top5",22.7,"median"
"127",51059461802,"tract","Census Tract 4618.02, Fairfax County, Virginia",2021,"median_drive_time_top10",48,"median"
"128",51510200404,"tract","Census Tract 2004.04, Alexandria city, Virginia",2021,"mean_drive_time_top10",62.05,"mean"
"129",51510201600,"tract","Census Tract 2016, Alexandria city, Virginia",2021,"median_drive_time_top5",31.9,"median"
"130",51107611016,"tract","Census Tract 6110.16, Loudoun County, Virginia",2021,"mean_drive_time_top10",74.01,"mean"
"131",51013103200,"tract","Census Tract 1032, Arlington County, Virginia",2021,"median_drive_time_top5",23,"median"
"132",51153901403,"tract","Census Tract 9014.03, Prince William County, Virginia",2021,"mean_drive_time_top5",25.76,"mean"
"133",51059452700,"tract","Census Tract 4527, Fairfax County, Virginia",2021,"mean_drive_time_top10",61.21,"mean"
"134",51059451900,"tract","Census Tract 4519, Fairfax County, Virginia",2021,"median_drive_time_top5",20.9,"median"
"135",51107611021,"tract","Census Tract 6110.21, Loudoun County, Virginia",2021,"mean_drive_time_top5",30.14,"mean"
"136",51153900409,"tract","Census Tract 9004.09, Prince William County, Virginia",2021,"mean_drive_time_top10",56.94,"mean"
"137",51107611013,"tract","Census Tract 6110.13, Loudoun County, Virginia",2021,"mean_drive_time_top5",38.14,"mean"
"138",51510200500,"tract","Census Tract 2005, Alexandria city, Virginia",2021,"median_drive_time_top10",55.9,"median"
"139",51059481102,"tract","Census Tract 4811.02, Fairfax County, Virginia",2021,"median_drive_time_top5",22.2,"median"
"140",51059470900,"tract","Census Tract 4709, Fairfax County, Virginia",2021,"mean_drive_time_top5",21.38,"mean"
"141",51013100600,"tract","Census Tract 1006, Arlington County, Virginia",2021,"mean_drive_time_top5",25.68,"mean"
"142",51059422101,"tract","Census Tract 4221.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",32.66,"mean"
"143",51059491404,"tract","Census Tract 4914.04, Fairfax County, Virginia",2021,"mean_drive_time_top5",23.22,"mean"
"144",51059491301,"tract","Census Tract 4913.01, Fairfax County, Virginia",2021,"mean_drive_time_top10",58.89,"mean"
"145",51510,"county","Alexandria city, Virginia",2021,"mean_drive_time_top10",65.31,"mean"
"146",51059491202,"tract","Census Tract 4912.02, Fairfax County, Virginia",2021,"median_drive_time_top5",22.7,"median"
"147",51059491401,"tract","Census Tract 4914.01, Fairfax County, Virginia",2021,"mean_drive_time_top5",19.76,"mean"
"148",51059452400,"tract","Census Tract 4524, Fairfax County, Virginia",2021,"median_drive_time_top5",20.8,"median"
"149",51153901506,"tract","Census Tract 9015.06, Prince William County, Virginia",2021,"median_drive_time_top10",47.35,"median"
"150",51059452101,"tract","Census Tract 4521.01, Fairfax County, Virginia",2021,"median_drive_time_top5",21.4,"median"
