geoid,measure,value,year,region_type,measure_type
110010001001,pediatric_pop,222,2021,block group,count
110010001002,pediatric_pop,191,2021,block group,count
110010001003,pediatric_pop,180,2021,block group,count
110010001004,pediatric_pop,29,2021,block group,count
110010002011,pediatric_pop,67,2021,block group,count
110010002021,pediatric_pop,220,2021,block group,count
110010002022,pediatric_pop,77,2021,block group,count
110010002023,pediatric_pop,23,2021,block group,count
110010002024,pediatric_pop,27,2021,block group,count
110010003001,pediatric_pop,261,2021,block group,count
110010003002,pediatric_pop,103,2021,block group,count
110010003003,pediatric_pop,117,2021,block group,count
110010003004,pediatric_pop,544,2021,block group,count
110010004001,pediatric_pop,139,2021,block group,count
110010004002,pediatric_pop,105,2021,block group,count
110010005011,pediatric_pop,103,2021,block group,count
110010005012,pediatric_pop,314,2021,block group,count
110010005021,pediatric_pop,333,2021,block group,count
110010005022,pediatric_pop,133,2021,block group,count
110010006001,pediatric_pop,143,2021,block group,count
110010006002,pediatric_pop,225,2021,block group,count
110010006003,pediatric_pop,170,2021,block group,count
110010006004,pediatric_pop,199,2021,block group,count
110010007011,pediatric_pop,136,2021,block group,count
110010007012,pediatric_pop,99,2021,block group,count
110010007013,pediatric_pop,51,2021,block group,count
110010007014,pediatric_pop,261,2021,block group,count
110010007021,pediatric_pop,95,2021,block group,count
110010007022,pediatric_pop,0,2021,block group,count
110010007023,pediatric_pop,24,2021,block group,count
110010008011,pediatric_pop,48,2021,block group,count
110010008012,pediatric_pop,360,2021,block group,count
110010008013,pediatric_pop,615,2021,block group,count
110010008014,pediatric_pop,96,2021,block group,count
110010008021,pediatric_pop,539,2021,block group,count
110010008022,pediatric_pop,228,2021,block group,count
110010009011,pediatric_pop,421,2021,block group,count
110010009012,pediatric_pop,357,2021,block group,count
110010009013,pediatric_pop,289,2021,block group,count
110010009021,pediatric_pop,248,2021,block group,count
110010009022,pediatric_pop,429,2021,block group,count
110010010011,pediatric_pop,224,2021,block group,count
110010010012,pediatric_pop,471,2021,block group,count
110010010013,pediatric_pop,213,2021,block group,count
110010010014,pediatric_pop,357,2021,block group,count
110010010015,pediatric_pop,191,2021,block group,count
110010010016,pediatric_pop,310,2021,block group,count
110010010021,pediatric_pop,163,2021,block group,count
110010010022,pediatric_pop,144,2021,block group,count
110010010023,pediatric_pop,173,2021,block group,count
110010011001,pediatric_pop,271,2021,block group,count
110010011002,pediatric_pop,340,2021,block group,count
110010011003,pediatric_pop,116,2021,block group,count
110010011004,pediatric_pop,268,2021,block group,count
110010012001,pediatric_pop,282,2021,block group,count
110010012002,pediatric_pop,187,2021,block group,count
110010012003,pediatric_pop,226,2021,block group,count
110010012004,pediatric_pop,412,2021,block group,count
110010013011,pediatric_pop,396,2021,block group,count
110010013012,pediatric_pop,180,2021,block group,count
110010013013,pediatric_pop,168,2021,block group,count
110010013021,pediatric_pop,23,2021,block group,count
110010013022,pediatric_pop,199,2021,block group,count
110010013023,pediatric_pop,0,2021,block group,count
110010014011,pediatric_pop,546,2021,block group,count
110010014012,pediatric_pop,394,2021,block group,count
110010014021,pediatric_pop,347,2021,block group,count
110010014022,pediatric_pop,303,2021,block group,count
110010014023,pediatric_pop,148,2021,block group,count
110010015001,pediatric_pop,521,2021,block group,count
110010015002,pediatric_pop,379,2021,block group,count
110010015003,pediatric_pop,119,2021,block group,count
110010015004,pediatric_pop,436,2021,block group,count
110010015005,pediatric_pop,478,2021,block group,count
110010016001,pediatric_pop,374,2021,block group,count
110010016002,pediatric_pop,141,2021,block group,count
110010016003,pediatric_pop,240,2021,block group,count
110010016004,pediatric_pop,494,2021,block group,count
110010017021,pediatric_pop,289,2021,block group,count
110010017022,pediatric_pop,275,2021,block group,count
110010018031,pediatric_pop,396,2021,block group,count
110010018032,pediatric_pop,840,2021,block group,count
110010018041,pediatric_pop,310,2021,block group,count
110010018042,pediatric_pop,508,2021,block group,count
110010018043,pediatric_pop,743,2021,block group,count
110010019011,pediatric_pop,145,2021,block group,count
110010019012,pediatric_pop,310,2021,block group,count
110010019013,pediatric_pop,232,2021,block group,count
110010019014,pediatric_pop,116,2021,block group,count
110010019021,pediatric_pop,301,2021,block group,count
110010019022,pediatric_pop,101,2021,block group,count
110010020011,pediatric_pop,808,2021,block group,count
110010020012,pediatric_pop,129,2021,block group,count
110010020021,pediatric_pop,291,2021,block group,count
110010020022,pediatric_pop,433,2021,block group,count
110010020023,pediatric_pop,418,2021,block group,count
110010021011,pediatric_pop,105,2021,block group,count
110010021012,pediatric_pop,355,2021,block group,count
110010021013,pediatric_pop,545,2021,block group,count
110010021014,pediatric_pop,33,2021,block group,count
110010021015,pediatric_pop,239,2021,block group,count
110010021021,pediatric_pop,158,2021,block group,count
110010021022,pediatric_pop,157,2021,block group,count
110010021023,pediatric_pop,403,2021,block group,count
110010021024,pediatric_pop,274,2021,block group,count
110010021025,pediatric_pop,28,2021,block group,count
110010021026,pediatric_pop,158,2021,block group,count
110010022011,pediatric_pop,157,2021,block group,count
110010022012,pediatric_pop,175,2021,block group,count
110010022013,pediatric_pop,94,2021,block group,count
110010022021,pediatric_pop,511,2021,block group,count
110010022022,pediatric_pop,199,2021,block group,count
110010022023,pediatric_pop,47,2021,block group,count
110010023011,pediatric_pop,444,2021,block group,count
110010023012,pediatric_pop,355,2021,block group,count
110010023021,pediatric_pop,135,2021,block group,count
110010024001,pediatric_pop,101,2021,block group,count
110010024002,pediatric_pop,231,2021,block group,count
110010024003,pediatric_pop,160,2021,block group,count
110010024004,pediatric_pop,116,2021,block group,count
110010025011,pediatric_pop,401,2021,block group,count
110010025012,pediatric_pop,318,2021,block group,count
110010025021,pediatric_pop,283,2021,block group,count
110010025022,pediatric_pop,289,2021,block group,count
110010025023,pediatric_pop,169,2021,block group,count
110010025024,pediatric_pop,277,2021,block group,count
110010026001,pediatric_pop,302,2021,block group,count
110010026002,pediatric_pop,217,2021,block group,count
110010027011,pediatric_pop,40,2021,block group,count
110010027012,pediatric_pop,462,2021,block group,count
110010027013,pediatric_pop,167,2021,block group,count
110010027014,pediatric_pop,476,2021,block group,count
110010027021,pediatric_pop,160,2021,block group,count
110010027022,pediatric_pop,455,2021,block group,count
110010027023,pediatric_pop,268,2021,block group,count
110010028011,pediatric_pop,280,2021,block group,count
110010028012,pediatric_pop,421,2021,block group,count
110010028021,pediatric_pop,625,2021,block group,count
110010028022,pediatric_pop,292,2021,block group,count
110010029001,pediatric_pop,372,2021,block group,count
110010029002,pediatric_pop,328,2021,block group,count
110010030001,pediatric_pop,303,2021,block group,count
110010030002,pediatric_pop,421,2021,block group,count
110010031001,pediatric_pop,521,2021,block group,count
110010032001,pediatric_pop,302,2021,block group,count
110010032002,pediatric_pop,61,2021,block group,count
110010032003,pediatric_pop,175,2021,block group,count
110010032004,pediatric_pop,119,2021,block group,count
110010033011,pediatric_pop,119,2021,block group,count
110010033012,pediatric_pop,101,2021,block group,count
110010033013,pediatric_pop,169,2021,block group,count
110010033021,pediatric_pop,94,2021,block group,count
