geoid,measure,value,year,region_type,measure_type
110010033022,pediatric_pop,73,2021,block group,count
110010034001,pediatric_pop,204,2021,block group,count
110010034002,pediatric_pop,261,2021,block group,count
110010035001,pediatric_pop,422,2021,block group,count
110010035002,pediatric_pop,55,2021,block group,count
110010036001,pediatric_pop,176,2021,block group,count
110010036002,pediatric_pop,134,2021,block group,count
110010036003,pediatric_pop,120,2021,block group,count
110010037001,pediatric_pop,49,2021,block group,count
110010037002,pediatric_pop,442,2021,block group,count
110010037003,pediatric_pop,286,2021,block group,count
110010038001,pediatric_pop,64,2021,block group,count
110010038002,pediatric_pop,546,2021,block group,count
110010038003,pediatric_pop,93,2021,block group,count
110010039001,pediatric_pop,64,2021,block group,count
110010039002,pediatric_pop,50,2021,block group,count
110010039003,pediatric_pop,131,2021,block group,count
110010039004,pediatric_pop,70,2021,block group,count
110010040011,pediatric_pop,193,2021,block group,count
110010040012,pediatric_pop,36,2021,block group,count
110010040013,pediatric_pop,365,2021,block group,count
110010040021,pediatric_pop,46,2021,block group,count
110010040022,pediatric_pop,193,2021,block group,count
110010040023,pediatric_pop,22,2021,block group,count
110010041001,pediatric_pop,65,2021,block group,count
110010041002,pediatric_pop,86,2021,block group,count
110010041003,pediatric_pop,73,2021,block group,count
110010042011,pediatric_pop,134,2021,block group,count
110010042012,pediatric_pop,151,2021,block group,count
110010042021,pediatric_pop,20,2021,block group,count
110010042022,pediatric_pop,3,2021,block group,count
110010043001,pediatric_pop,261,2021,block group,count
110010043002,pediatric_pop,79,2021,block group,count
110010044001,pediatric_pop,211,2021,block group,count
110010044002,pediatric_pop,239,2021,block group,count
110010046001,pediatric_pop,25,2021,block group,count
110010046002,pediatric_pop,210,2021,block group,count
110010047011,pediatric_pop,256,2021,block group,count
110010047012,pediatric_pop,682,2021,block group,count
110010047021,pediatric_pop,175,2021,block group,count
110010048011,pediatric_pop,353,2021,block group,count
110010048021,pediatric_pop,129,2021,block group,count
110010048022,pediatric_pop,254,2021,block group,count
110010049011,pediatric_pop,284,2021,block group,count
110010049012,pediatric_pop,106,2021,block group,count
110010049021,pediatric_pop,185,2021,block group,count
110010049022,pediatric_pop,261,2021,block group,count
110010050011,pediatric_pop,37,2021,block group,count
110010050012,pediatric_pop,79,2021,block group,count
110010050021,pediatric_pop,405,2021,block group,count
110010050022,pediatric_pop,0,2021,block group,count
110010050023,pediatric_pop,115,2021,block group,count
110010050024,pediatric_pop,52,2021,block group,count
110010052011,pediatric_pop,27,2021,block group,count
110010052012,pediatric_pop,0,2021,block group,count
110010052013,pediatric_pop,87,2021,block group,count
110010052014,pediatric_pop,116,2021,block group,count
110010053011,pediatric_pop,167,2021,block group,count
110010053012,pediatric_pop,82,2021,block group,count
110010053013,pediatric_pop,0,2021,block group,count
110010053014,pediatric_pop,70,2021,block group,count
110010055001,pediatric_pop,307,2021,block group,count
110010055002,pediatric_pop,153,2021,block group,count
110010055003,pediatric_pop,0,2021,block group,count
110010055004,pediatric_pop,0,2021,block group,count
110010055005,pediatric_pop,0,2021,block group,count
110010056001,pediatric_pop,56,2021,block group,count
110010056002,pediatric_pop,72,2021,block group,count
110010056003,pediatric_pop,34,2021,block group,count
110010056004,pediatric_pop,0,2021,block group,count
110010058001,pediatric_pop,32,2021,block group,count
110010058002,pediatric_pop,160,2021,block group,count
110010059001,pediatric_pop,43,2021,block group,count
110010062021,pediatric_pop,0,2021,block group,count
110010064001,pediatric_pop,213,2021,block group,count
110010064002,pediatric_pop,319,2021,block group,count
110010065001,pediatric_pop,206,2021,block group,count
110010065002,pediatric_pop,292,2021,block group,count
110010066001,pediatric_pop,242,2021,block group,count
110010067001,pediatric_pop,126,2021,block group,count
110010067002,pediatric_pop,213,2021,block group,count
110010067003,pediatric_pop,400,2021,block group,count
110010068011,pediatric_pop,256,2021,block group,count
110010068012,pediatric_pop,86,2021,block group,count
110010068021,pediatric_pop,114,2021,block group,count
110010068022,pediatric_pop,377,2021,block group,count
110010068041,pediatric_pop,66,2021,block group,count
110010069001,pediatric_pop,179,2021,block group,count
110010069002,pediatric_pop,376,2021,block group,count
110010070001,pediatric_pop,142,2021,block group,count
110010070002,pediatric_pop,161,2021,block group,count
110010071001,pediatric_pop,40,2021,block group,count
110010071002,pediatric_pop,808,2021,block group,count
110010072001,pediatric_pop,487,2021,block group,count
110010072002,pediatric_pop,46,2021,block group,count
110010073011,pediatric_pop,1856,2021,block group,count
110010073041,pediatric_pop,896,2021,block group,count
110010073042,pediatric_pop,243,2021,block group,count
110010073043,pediatric_pop,215,2021,block group,count
110010074011,pediatric_pop,206,2021,block group,count
110010074012,pediatric_pop,218,2021,block group,count
110010074031,pediatric_pop,703,2021,block group,count
110010074041,pediatric_pop,541,2021,block group,count
110010074042,pediatric_pop,606,2021,block group,count
110010074043,pediatric_pop,209,2021,block group,count
110010074061,pediatric_pop,1085,2021,block group,count
110010074062,pediatric_pop,564,2021,block group,count
110010074071,pediatric_pop,306,2021,block group,count
110010074072,pediatric_pop,616,2021,block group,count
110010074081,pediatric_pop,1014,2021,block group,count
110010074091,pediatric_pop,299,2021,block group,count
110010074092,pediatric_pop,670,2021,block group,count
110010074093,pediatric_pop,460,2021,block group,count
110010075021,pediatric_pop,1447,2021,block group,count
110010075022,pediatric_pop,496,2021,block group,count
110010075031,pediatric_pop,255,2021,block group,count
110010075032,pediatric_pop,550,2021,block group,count
110010075041,pediatric_pop,949,2021,block group,count
110010076011,pediatric_pop,119,2021,block group,count
110010076012,pediatric_pop,238,2021,block group,count
110010076013,pediatric_pop,270,2021,block group,count
110010076014,pediatric_pop,198,2021,block group,count
110010076015,pediatric_pop,196,2021,block group,count
110010076031,pediatric_pop,460,2021,block group,count
110010076032,pediatric_pop,97,2021,block group,count
110010076033,pediatric_pop,490,2021,block group,count
110010076034,pediatric_pop,44,2021,block group,count
110010076041,pediatric_pop,582,2021,block group,count
110010076042,pediatric_pop,270,2021,block group,count
110010076043,pediatric_pop,70,2021,block group,count
110010076051,pediatric_pop,41,2021,block group,count
110010076052,pediatric_pop,476,2021,block group,count
110010076053,pediatric_pop,353,2021,block group,count
110010077031,pediatric_pop,280,2021,block group,count
110010077032,pediatric_pop,1017,2021,block group,count
110010077033,pediatric_pop,833,2021,block group,count
110010077034,pediatric_pop,316,2021,block group,count
110010077071,pediatric_pop,891,2021,block group,count
110010077072,pediatric_pop,398,2021,block group,count
110010077081,pediatric_pop,719,2021,block group,count
110010077082,pediatric_pop,164,2021,block group,count
110010077091,pediatric_pop,233,2021,block group,count
110010077092,pediatric_pop,265,2021,block group,count
110010078031,pediatric_pop,283,2021,block group,count
110010078032,pediatric_pop,149,2021,block group,count
110010078033,pediatric_pop,298,2021,block group,count
110010078034,pediatric_pop,316,2021,block group,count
110010078041,pediatric_pop,415,2021,block group,count
110010078042,pediatric_pop,497,2021,block group,count
110010078043,pediatric_pop,239,2021,block group,count
110010078061,pediatric_pop,164,2021,block group,count
110010078062,pediatric_pop,280,2021,block group,count
110010078071,pediatric_pop,262,2021,block group,count
110010078072,pediatric_pop,186,2021,block group,count
110010078081,pediatric_pop,730,2021,block group,count
110010078082,pediatric_pop,154,2021,block group,count
110010078083,pediatric_pop,263,2021,block group,count
110010078091,pediatric_pop,458,2021,block group,count
110010078092,pediatric_pop,253,2021,block group,count
110010079011,pediatric_pop,315,2021,block group,count
110010079012,pediatric_pop,203,2021,block group,count
110010079013,pediatric_pop,412,2021,block group,count
110010079014,pediatric_pop,357,2021,block group,count
110010079031,pediatric_pop,414,2021,block group,count
110010080011,pediatric_pop,87,2021,block group,count
110010080012,pediatric_pop,347,2021,block group,count
110010080013,pediatric_pop,237,2021,block group,count
110010080021,pediatric_pop,140,2021,block group,count
110010080022,pediatric_pop,533,2021,block group,count
110010081001,pediatric_pop,183,2021,block group,count
110010081002,pediatric_pop,332,2021,block group,count
110010081003,pediatric_pop,113,2021,block group,count
110010082001,pediatric_pop,199,2021,block group,count
110010082002,pediatric_pop,282,2021,block group,count
110010083011,pediatric_pop,175,2021,block group,count
110010083012,pediatric_pop,243,2021,block group,count
110010083021,pediatric_pop,570,2021,block group,count
110010084021,pediatric_pop,110,2021,block group,count
110010084022,pediatric_pop,107,2021,block group,count
110010084101,pediatric_pop,258,2021,block group,count
110010087011,pediatric_pop,168,2021,block group,count
110010087012,pediatric_pop,61,2021,block group,count
110010087021,pediatric_pop,180,2021,block group,count
110010087022,pediatric_pop,166,2021,block group,count
110010088021,pediatric_pop,27,2021,block group,count
110010088022,pediatric_pop,307,2021,block group,count
110010088023,pediatric_pop,217,2021,block group,count
110010088024,pediatric_pop,170,2021,block group,count
110010088031,pediatric_pop,554,2021,block group,count
110010088041,pediatric_pop,183,2021,block group,count
110010088042,pediatric_pop,183,2021,block group,count
110010089031,pediatric_pop,531,2021,block group,count
110010089032,pediatric_pop,231,2021,block group,count
110010089041,pediatric_pop,936,2021,block group,count
110010089042,pediatric_pop,112,2021,block group,count
110010090001,pediatric_pop,598,2021,block group,count
110010090002,pediatric_pop,228,2021,block group,count
110010091021,pediatric_pop,133,2021,block group,count
110010091022,pediatric_pop,659,2021,block group,count
110010091023,pediatric_pop,242,2021,block group,count
110010092011,pediatric_pop,471,2021,block group,count
110010092031,pediatric_pop,312,2021,block group,count
110010092032,pediatric_pop,115,2021,block group,count
110010092041,pediatric_pop,90,2021,block group,count
110010092042,pediatric_pop,744,2021,block group,count
110010093011,pediatric_pop,76,2021,block group,count
110010093012,pediatric_pop,165,2021,block group,count
110010093013,pediatric_pop,170,2021,block group,count
110010093014,pediatric_pop,120,2021,block group,count
110010093021,pediatric_pop,234,2021,block group,count
110010094001,pediatric_pop,185,2021,block group,count
110010094002,pediatric_pop,483,2021,block group,count
110010094003,pediatric_pop,403,2021,block group,count
110010094004,pediatric_pop,143,2021,block group,count
110010095011,pediatric_pop,981,2021,block group,count
110010095012,pediatric_pop,133,2021,block group,count
110010095013,pediatric_pop,383,2021,block group,count
110010095031,pediatric_pop,297,2021,block group,count
110010095032,pediatric_pop,88,2021,block group,count
110010095033,pediatric_pop,152,2021,block group,count
110010095041,pediatric_pop,296,2021,block group,count
110010095042,pediatric_pop,224,2021,block group,count
110010095051,pediatric_pop,110,2021,block group,count
110010095052,pediatric_pop,175,2021,block group,count
110010095053,pediatric_pop,343,2021,block group,count
110010095071,pediatric_pop,451,2021,block group,count
110010095081,pediatric_pop,36,2021,block group,count
110010095082,pediatric_pop,337,2021,block group,count
110010095083,pediatric_pop,168,2021,block group,count
110010095091,pediatric_pop,226,2021,block group,count
110010095092,pediatric_pop,204,2021,block group,count
110010095093,pediatric_pop,330,2021,block group,count
110010096011,pediatric_pop,493,2021,block group,count
110010096021,pediatric_pop,504,2021,block group,count
110010096022,pediatric_pop,568,2021,block group,count
110010096031,pediatric_pop,579,2021,block group,count
110010096032,pediatric_pop,140,2021,block group,count
110010096033,pediatric_pop,182,2021,block group,count
110010096041,pediatric_pop,279,2021,block group,count
110010096042,pediatric_pop,164,2021,block group,count
110010097001,pediatric_pop,881,2021,block group,count
110010097002,pediatric_pop,254,2021,block group,count
110010098011,pediatric_pop,674,2021,block group,count
110010098021,pediatric_pop,338,2021,block group,count
110010098022,pediatric_pop,324,2021,block group,count
110010098031,pediatric_pop,295,2021,block group,count
110010098032,pediatric_pop,280,2021,block group,count
110010098033,pediatric_pop,129,2021,block group,count
110010098041,pediatric_pop,606,2021,block group,count
110010098042,pediatric_pop,174,2021,block group,count
110010098071,pediatric_pop,178,2021,block group,count
110010098072,pediatric_pop,457,2021,block group,count
110010098101,pediatric_pop,555,2021,block group,count
110010098102,pediatric_pop,280,2021,block group,count
110010098111,pediatric_pop,617,2021,block group,count
110010098112,pediatric_pop,828,2021,block group,count
110010099011,pediatric_pop,193,2021,block group,count
110010099012,pediatric_pop,256,2021,block group,count
110010099021,pediatric_pop,152,2021,block group,count
110010099022,pediatric_pop,427,2021,block group,count
110010099031,pediatric_pop,317,2021,block group,count
110010099032,pediatric_pop,265,2021,block group,count
110010099041,pediatric_pop,368,2021,block group,count
110010099042,pediatric_pop,688,2021,block group,count
110010099051,pediatric_pop,110,2021,block group,count
110010099052,pediatric_pop,222,2021,block group,count
110010099053,pediatric_pop,477,2021,block group,count
110010099061,pediatric_pop,317,2021,block group,count
110010099071,pediatric_pop,136,2021,block group,count
110010099072,pediatric_pop,444,2021,block group,count
110010101001,pediatric_pop,91,2021,block group,count
110010101002,pediatric_pop,35,2021,block group,count
110010102001,pediatric_pop,207,2021,block group,count
110010102002,pediatric_pop,87,2021,block group,count
110010103001,pediatric_pop,222,2021,block group,count
110010103002,pediatric_pop,339,2021,block group,count
110010103003,pediatric_pop,213,2021,block group,count
110010104001,pediatric_pop,954,2021,block group,count
110010104002,pediatric_pop,861,2021,block group,count
110010105001,pediatric_pop,293,2021,block group,count
110010105002,pediatric_pop,106,2021,block group,count
110010106001,pediatric_pop,186,2021,block group,count
110010106002,pediatric_pop,479,2021,block group,count
110010106003,pediatric_pop,101,2021,block group,count
110010107001,pediatric_pop,0,2021,block group,count
110010107002,pediatric_pop,34,2021,block group,count
110010108001,pediatric_pop,0,2021,block group,count
110010108002,pediatric_pop,57,2021,block group,count
110010108003,pediatric_pop,5,2021,block group,count
110010109001,pediatric_pop,771,2021,block group,count
110010109002,pediatric_pop,400,2021,block group,count
110010110001,pediatric_pop,63,2021,block group,count
110010110002,pediatric_pop,0,2021,block group,count
110010110003,pediatric_pop,0,2021,block group,count
110010110004,pediatric_pop,72,2021,block group,count
110010111001,pediatric_pop,426,2021,block group,count
110010111002,pediatric_pop,302,2021,block group,count
110010111003,pediatric_pop,109,2021,block group,count
240178501011,pediatric_pop,746,2021,block group,count
240178501012,pediatric_pop,476,2021,block group,count
240178501021,pediatric_pop,400,2021,block group,count
240178501022,pediatric_pop,141,2021,block group,count
240178502011,pediatric_pop,179,2021,block group,count
240178502021,pediatric_pop,505,2021,block group,count
240178502022,pediatric_pop,228,2021,block group,count
240178502023,pediatric_pop,511,2021,block group,count
240178503001,pediatric_pop,212,2021,block group,count
240178503002,pediatric_pop,193,2021,block group,count
240178504001,pediatric_pop,80,2021,block group,count
240178504002,pediatric_pop,458,2021,block group,count
240178504003,pediatric_pop,208,2021,block group,count
240178505001,pediatric_pop,310,2021,block group,count
240178505002,pediatric_pop,271,2021,block group,count
240178506001,pediatric_pop,584,2021,block group,count
240178506002,pediatric_pop,168,2021,block group,count
240178506003,pediatric_pop,432,2021,block group,count
240178507061,pediatric_pop,1233,2021,block group,count
240178507062,pediatric_pop,412,2021,block group,count
240178507081,pediatric_pop,306,2021,block group,count
240178507082,pediatric_pop,730,2021,block group,count
240178507091,pediatric_pop,714,2021,block group,count
240178507092,pediatric_pop,396,2021,block group,count
240178507093,pediatric_pop,869,2021,block group,count
240178507101,pediatric_pop,821,2021,block group,count
240178507102,pediatric_pop,777,2021,block group,count
240178507111,pediatric_pop,519,2021,block group,count
240178507112,pediatric_pop,282,2021,block group,count
240178507113,pediatric_pop,570,2021,block group,count
240178507121,pediatric_pop,451,2021,block group,count
240178507122,pediatric_pop,622,2021,block group,count
240178507131,pediatric_pop,801,2021,block group,count
240178507132,pediatric_pop,1178,2021,block group,count
240178508011,pediatric_pop,335,2021,block group,count
240178508012,pediatric_pop,60,2021,block group,count
240178508013,pediatric_pop,275,2021,block group,count
240178508014,pediatric_pop,365,2021,block group,count
240178508021,pediatric_pop,661,2021,block group,count
240178508022,pediatric_pop,634,2021,block group,count
240178508023,pediatric_pop,294,2021,block group,count
240178509011,pediatric_pop,445,2021,block group,count
240178509012,pediatric_pop,429,2021,block group,count
240178509013,pediatric_pop,521,2021,block group,count
240178509021,pediatric_pop,378,2021,block group,count
240178509022,pediatric_pop,495,2021,block group,count
240178509023,pediatric_pop,218,2021,block group,count
240178509041,pediatric_pop,2545,2021,block group,count
240178509042,pediatric_pop,205,2021,block group,count
240178509051,pediatric_pop,457,2021,block group,count
240178509052,pediatric_pop,616,2021,block group,count
240178509061,pediatric_pop,359,2021,block group,count
240178509062,pediatric_pop,161,2021,block group,count
240178509063,pediatric_pop,554,2021,block group,count
240178510011,pediatric_pop,214,2021,block group,count
240178510012,pediatric_pop,532,2021,block group,count
240178510021,pediatric_pop,176,2021,block group,count
240178510022,pediatric_pop,518,2021,block group,count
240178510023,pediatric_pop,219,2021,block group,count
240178510024,pediatric_pop,100,2021,block group,count
240178510025,pediatric_pop,367,2021,block group,count
240178510026,pediatric_pop,853,2021,block group,count
240178511001,pediatric_pop,178,2021,block group,count
240178511002,pediatric_pop,480,2021,block group,count
240178512001,pediatric_pop,274,2021,block group,count
240178512002,pediatric_pop,149,2021,block group,count
240178512003,pediatric_pop,589,2021,block group,count
240178512004,pediatric_pop,306,2021,block group,count
240178513011,pediatric_pop,834,2021,block group,count
240178513012,pediatric_pop,780,2021,block group,count
240178513021,pediatric_pop,0,2021,block group,count
240178513022,pediatric_pop,368,2021,block group,count
240178513023,pediatric_pop,647,2021,block group,count
240178514001,pediatric_pop,502,2021,block group,count
240178514002,pediatric_pop,534,2021,block group,count
240178514003,pediatric_pop,201,2021,block group,count
240178514004,pediatric_pop,605,2021,block group,count
240178515001,pediatric_pop,560,2021,block group,count
240178515002,pediatric_pop,833,2021,block group,count
240178515003,pediatric_pop,864,2021,block group,count
240217402001,pediatric_pop,93,2021,block group,count
240217402002,pediatric_pop,330,2021,block group,count
240217402003,pediatric_pop,359,2021,block group,count
240217402004,pediatric_pop,380,2021,block group,count
240217501001,pediatric_pop,111,2021,block group,count
240217501002,pediatric_pop,60,2021,block group,count
240217502001,pediatric_pop,47,2021,block group,count
240217502002,pediatric_pop,149,2021,block group,count
240217503001,pediatric_pop,105,2021,block group,count
240217503002,pediatric_pop,161,2021,block group,count
240217505031,pediatric_pop,547,2021,block group,count
240217505032,pediatric_pop,458,2021,block group,count
240217505033,pediatric_pop,130,2021,block group,count
240217505034,pediatric_pop,0,2021,block group,count
240217505035,pediatric_pop,889,2021,block group,count
240217505041,pediatric_pop,468,2021,block group,count
240217505042,pediatric_pop,259,2021,block group,count
240217505043,pediatric_pop,353,2021,block group,count
240217505044,pediatric_pop,142,2021,block group,count
240217505051,pediatric_pop,942,2021,block group,count
240217505052,pediatric_pop,300,2021,block group,count
240217505053,pediatric_pop,1205,2021,block group,count
240217505061,pediatric_pop,531,2021,block group,count
240217505062,pediatric_pop,451,2021,block group,count
240217505063,pediatric_pop,190,2021,block group,count
240217506001,pediatric_pop,160,2021,block group,count
240217506002,pediatric_pop,104,2021,block group,count
240217506003,pediatric_pop,86,2021,block group,count
240217507011,pediatric_pop,701,2021,block group,count
240217507012,pediatric_pop,517,2021,block group,count
240217507013,pediatric_pop,161,2021,block group,count
240217507021,pediatric_pop,320,2021,block group,count
240217507022,pediatric_pop,186,2021,block group,count
240217507023,pediatric_pop,230,2021,block group,count
240217508011,pediatric_pop,47,2021,block group,count
240217508012,pediatric_pop,245,2021,block group,count
240217508013,pediatric_pop,93,2021,block group,count
240217508021,pediatric_pop,319,2021,block group,count
240217508022,pediatric_pop,217,2021,block group,count
240217508023,pediatric_pop,511,2021,block group,count
240217508031,pediatric_pop,261,2021,block group,count
240217508032,pediatric_pop,201,2021,block group,count
240217508033,pediatric_pop,938,2021,block group,count
240217510011,pediatric_pop,303,2021,block group,count
240217510021,pediatric_pop,347,2021,block group,count
240217510022,pediatric_pop,242,2021,block group,count
240217510023,pediatric_pop,279,2021,block group,count
240217510024,pediatric_pop,302,2021,block group,count
240217510031,pediatric_pop,682,2021,block group,count
240217510032,pediatric_pop,378,2021,block group,count
240217510033,pediatric_pop,169,2021,block group,count
240217510041,pediatric_pop,157,2021,block group,count
240217510042,pediatric_pop,770,2021,block group,count
240217512011,pediatric_pop,193,2021,block group,count
240217512012,pediatric_pop,560,2021,block group,count
240217512013,pediatric_pop,573,2021,block group,count
240217512021,pediatric_pop,264,2021,block group,count
240217512022,pediatric_pop,802,2021,block group,count
240217512023,pediatric_pop,70,2021,block group,count
240217512024,pediatric_pop,365,2021,block group,count
240217512031,pediatric_pop,131,2021,block group,count
240217512032,pediatric_pop,0,2021,block group,count
240217512033,pediatric_pop,215,2021,block group,count
240217513011,pediatric_pop,240,2021,block group,count
240217513012,pediatric_pop,654,2021,block group,count
240217513021,pediatric_pop,282,2021,block group,count
240217513022,pediatric_pop,277,2021,block group,count
240217516001,pediatric_pop,290,2021,block group,count
240217516002,pediatric_pop,372,2021,block group,count
240217517011,pediatric_pop,95,2021,block group,count
240217517012,pediatric_pop,242,2021,block group,count
240217517013,pediatric_pop,146,2021,block group,count
240217517021,pediatric_pop,208,2021,block group,count
240217517022,pediatric_pop,392,2021,block group,count
240217517023,pediatric_pop,143,2021,block group,count
240217518011,pediatric_pop,298,2021,block group,count
