"","geoid","region_type","year","region_name","year.1","measure","value","measure_type","measure_units"
"1",51013,"county",2020,"Arlington County, Virginia",2021,"perc_income_med_price_25",0.915903456,"percent",NA
"2",51013,"county",2020,"Arlington County, Virginia",2021,"perc_income_med_price_100",0.44841043,"percent",NA
"3",51013,"county",2020,"Arlington County, Virginia",2021,"perc_income_min_price_100",0.429183209,"percent",NA
"4",51013,"county",2020,"Arlington County, Virginia",2021,"perc_income_min_price_100_plus",0.425366647,"percent",NA
"5",51013,"county",2020,"Arlington County, Virginia",2021,"perc_income_min_price_25",0.318998393,"percent",NA
"6",51013,"county",2020,"Arlington County, Virginia",2021,"perc_income_avg_nat_package",0.681706044,"percent",NA
"7",51059,"county",2020,"Fairfax County, Virginia",2021,"perc_income_min_price_100",0.598555368,"percent",NA
"8",51059,"county",2020,"Fairfax County, Virginia",2021,"perc_income_med_price_100",1.43224169,"percent",NA
"9",51059,"county",2020,"Fairfax County, Virginia",2021,"perc_income_avg_nat_package",0.654929209,"percent",NA
"10",51059,"county",2020,"Fairfax County, Virginia",2021,"perc_income_min_price_100_plus",0.415360755,"percent",NA
"11",51059,"county",2020,"Fairfax County, Virginia",2021,"perc_income_min_price_25",0.309239123,"percent",NA
"12",51059,"county",2020,"Fairfax County, Virginia",2021,"perc_income_med_price_25",0.999347168,"percent",NA
"13",51107,"county",2020,"Loudoun County, Virginia",2021,"perc_income_avg_nat_package",0.562911231,"percent",NA
"14",51107,"county",2020,"Loudoun County, Virginia",2021,"perc_income_min_price_25",0.295952784,"percent",NA
"15",51107,"county",2020,"Loudoun County, Virginia",2021,"perc_income_med_price_100",0.435879723,"percent",NA
"16",51107,"county",2020,"Loudoun County, Virginia",2021,"perc_income_min_price_100_plus",0.353256338,"percent",NA
"17",51107,"county",2020,"Loudoun County, Virginia",2021,"perc_income_med_price_25",0.864724772,"percent",NA
"18",51107,"county",2020,"Loudoun County, Virginia",2021,"perc_income_min_price_100",0.367349376,"percent",NA
"19",51153,"county",2020,"Prince William County, Virginia",2021,"perc_income_avg_nat_package",0.768149192,"percent",NA
"20",51153,"county",2020,"Prince William County, Virginia",2021,"perc_income_med_price_100",0.500764795,"percent",NA
"21",51153,"county",2020,"Prince William County, Virginia",2021,"perc_income_min_price_100_plus",0.474305269,"percent",NA
"22",51153,"county",2020,"Prince William County, Virginia",2021,"perc_income_med_price_25",1.019655486,"percent",NA
"23",51153,"county",2020,"Prince William County, Virginia",2021,"perc_income_min_price_25",0.361486795,"percent",NA
"24",51153,"county",2020,"Prince William County, Virginia",2021,"perc_income_min_price_100",0.474305269,"percent",NA
"25",51510,"county",2020,"Alexandria city, Virginia",2021,"perc_income_min_price_25",0.367350936,"percent",NA
"26",51510,"county",2020,"Alexandria city, Virginia",2021,"perc_income_med_price_100",0.556067403,"percent",NA
"27",51510,"county",2020,"Alexandria city, Virginia",2021,"perc_income_min_price_100",0.498719202,"percent",NA
"28",51510,"county",2020,"Alexandria city, Virginia",2021,"perc_income_med_price_25",1.046441191,"percent",NA
"29",51510,"county",2020,"Alexandria city, Virginia",2021,"perc_income_avg_nat_package",0.80776908,"percent",NA
"30",51510,"county",2020,"Alexandria city, Virginia",2021,"perc_income_min_price_100_plus",0.489842078,"percent",NA
"31",51600,"county",2020,"Fairfax city, Virginia",2021,"perc_income_min_price_25",0.319327271,"percent",NA
"32",51600,"county",2020,"Fairfax city, Virginia",2021,"perc_income_min_price_100_plus",0.425805188,"percent",NA
"33",51600,"county",2020,"Fairfax city, Virginia",2021,"perc_income_med_price_100",1.597062268,"percent",NA
