"","geoid","year","region_name","region_type","measure","value","measure_type","measure_units"
"101",51013103700,2020,"Census Tract 1037, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"102",51013103800,2020,"Census Tract 1038, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"103",51059415100,2020,"Census Tract 4151, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"104",51059415200,2020,"Census Tract 4152, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"105",51059415300,2020,"Census Tract 4153, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"106",51059415401,2020,"Census Tract 4154.01, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"107",51059415402,2020,"Census Tract 4154.02, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"108",51059415500,2020,"Census Tract 4155, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"109",51059415600,2020,"Census Tract 4156, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"110",51059415700,2020,"Census Tract 4157, Fairfax County, Virginia","tract","3sfca_capacity",0.136867676,"index",NA
"111",51059415800,2020,"Census Tract 4158, Fairfax County, Virginia","tract","3sfca_capacity",0.136867676,"index",NA
"112",51059415900,2020,"Census Tract 4159, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"113",51059416000,2020,"Census Tract 4160, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"114",51059416100,2020,"Census Tract 4161, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"115",51059416200,2020,"Census Tract 4162, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"116",51059416300,2020,"Census Tract 4163, Fairfax County, Virginia","tract","3sfca_capacity",0.136867676,"index",NA
"117",51059420100,2020,"Census Tract 4201, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"118",51059420201,2020,"Census Tract 4202.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"119",51059420202,2020,"Census Tract 4202.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"120",51059420203,2020,"Census Tract 4202.03, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"121",51059420300,2020,"Census Tract 4203, Fairfax County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"122",51059420400,2020,"Census Tract 4204, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"123",51059420501,2020,"Census Tract 4205.01, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"124",51059420502,2020,"Census Tract 4205.02, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"125",51059420503,2020,"Census Tract 4205.03, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"126",51059420600,2020,"Census Tract 4206, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"127",51059420700,2020,"Census Tract 4207, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"128",51059420800,2020,"Census Tract 4208, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"129",51059421001,2020,"Census Tract 4210.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"130",51059421002,2020,"Census Tract 4210.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"131",51059421101,2020,"Census Tract 4211.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"132",51059421102,2020,"Census Tract 4211.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"133",51059421103,2020,"Census Tract 4211.03, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"134",51059421200,2020,"Census Tract 4212, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"135",51059421300,2020,"Census Tract 4213, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"136",51059421400,2020,"Census Tract 4214, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"137",51059421500,2020,"Census Tract 4215, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"138",51059421600,2020,"Census Tract 4216, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"139",51059421701,2020,"Census Tract 4217.01, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"140",51059421702,2020,"Census Tract 4217.02, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"141",51059421800,2020,"Census Tract 4218, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"142",51059421900,2020,"Census Tract 4219, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"143",51059422000,2020,"Census Tract 4220, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"144",51059422101,2020,"Census Tract 4221.01, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"145",51059422102,2020,"Census Tract 4221.02, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"146",51059422201,2020,"Census Tract 4222.01, Fairfax County, Virginia","tract","3sfca_capacity",0.136867676,"index",NA
"147",51059422202,2020,"Census Tract 4222.02, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"148",51059422301,2020,"Census Tract 4223.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"149",51059422302,2020,"Census Tract 4223.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"150",51059422401,2020,"Census Tract 4224.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"151",51059422402,2020,"Census Tract 4224.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"152",51059422403,2020,"Census Tract 4224.03, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"153",51059430101,2020,"Census Tract 4301.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"154",51059430102,2020,"Census Tract 4301.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"155",51059430201,2020,"Census Tract 4302.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"156",51059430202,2020,"Census Tract 4302.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"157",51059430203,2020,"Census Tract 4302.03, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"158",51059430400,2020,"Census Tract 4304, Fairfax County, Virginia","tract","3sfca_capacity",4.480473187,"index",NA
"159",51059430500,2020,"Census Tract 4305, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"160",51059430600,2020,"Census Tract 4306, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"161",51059430700,2020,"Census Tract 4307, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"162",51059430801,2020,"Census Tract 4308.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"163",51059430802,2020,"Census Tract 4308.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"164",51059430901,2020,"Census Tract 4309.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"165",51059430902,2020,"Census Tract 4309.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"166",51059431001,2020,"Census Tract 4310.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"167",51059431002,2020,"Census Tract 4310.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"168",51059431300,2020,"Census Tract 4313, Fairfax County, Virginia","tract","3sfca_capacity",4.302758919,"index",NA
"169",51059431400,2020,"Census Tract 4314, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"170",51059431500,2020,"Census Tract 4315, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"171",51059431600,2020,"Census Tract 4316, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"172",51059431801,2020,"Census Tract 4318.01, Fairfax County, Virginia","tract","3sfca_capacity",4.480473187,"index",NA
"173",51059431802,2020,"Census Tract 4318.02, Fairfax County, Virginia","tract","3sfca_capacity",4.480473187,"index",NA
"174",51059431900,2020,"Census Tract 4319, Fairfax County, Virginia","tract","3sfca_capacity",4.480473187,"index",NA
"175",51059432000,2020,"Census Tract 4320, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"176",51059432100,2020,"Census Tract 4321, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"177",51059432201,2020,"Census Tract 4322.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"178",51059432202,2020,"Census Tract 4322.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"179",51059432300,2020,"Census Tract 4323, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"180",51059432401,2020,"Census Tract 4324.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"181",51059432402,2020,"Census Tract 4324.02, Fairfax County, Virginia","tract","3sfca_capacity",4.302758919,"index",NA
"182",51059432500,2020,"Census Tract 4325, Fairfax County, Virginia","tract","3sfca_capacity",4.302758919,"index",NA
"183",51059432600,2020,"Census Tract 4326, Fairfax County, Virginia","tract","3sfca_capacity",4.302758919,"index",NA
"184",51059432701,2020,"Census Tract 4327.01, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"185",51059432702,2020,"Census Tract 4327.02, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"186",51059432800,2020,"Census Tract 4328, Fairfax County, Virginia","tract","3sfca_capacity",2.197018062,"index",NA
"187",51059440100,2020,"Census Tract 4401, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"188",51059440201,2020,"Census Tract 4402.01, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"189",51059440202,2020,"Census Tract 4402.02, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"190",51059440300,2020,"Census Tract 4403, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"191",51059440501,2020,"Census Tract 4405.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"192",51059440502,2020,"Census Tract 4405.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"193",51059440600,2020,"Census Tract 4406, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"194",51059440701,2020,"Census Tract 4407.01, Fairfax County, Virginia","tract","3sfca_capacity",4.480473187,"index",NA
"195",51059440702,2020,"Census Tract 4407.02, Fairfax County, Virginia","tract","3sfca_capacity",4.480473187,"index",NA
"196",51059440800,2020,"Census Tract 4408, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"197",51059450100,2020,"Census Tract 4501, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"198",51059450200,2020,"Census Tract 4502, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"199",51059450300,2020,"Census Tract 4503, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"200",51059450400,2020,"Census Tract 4504, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"201",51059450500,2020,"Census Tract 4505, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"202",51059450601,2020,"Census Tract 4506.01, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"203",51059450602,2020,"Census Tract 4506.02, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"204",51059450701,2020,"Census Tract 4507.01, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"205",51059450702,2020,"Census Tract 4507.02, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"206",51059450800,2020,"Census Tract 4508, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"207",51059450900,2020,"Census Tract 4509, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"208",51059451000,2020,"Census Tract 4510, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"209",51059451100,2020,"Census Tract 4511, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"210",51059451200,2020,"Census Tract 4512, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"211",51059451300,2020,"Census Tract 4513, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"212",51059451400,2020,"Census Tract 4514, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"213",51059451501,2020,"Census Tract 4515.01, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"214",51059451502,2020,"Census Tract 4515.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"215",51059451601,2020,"Census Tract 4516.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"216",51059451602,2020,"Census Tract 4516.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"217",51059451800,2020,"Census Tract 4518, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"218",51059451900,2020,"Census Tract 4519, Fairfax County, Virginia","tract","3sfca_capacity",4.480473187,"index",NA
"219",51059452000,2020,"Census Tract 4520, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"220",51059452101,2020,"Census Tract 4521.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"221",51059452102,2020,"Census Tract 4521.02, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"222",51059452200,2020,"Census Tract 4522, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"223",51059452301,2020,"Census Tract 4523.01, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"224",51059452302,2020,"Census Tract 4523.02, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"225",51059452400,2020,"Census Tract 4524, Fairfax County, Virginia","tract","3sfca_capacity",4.480473187,"index",NA
"226",51059452501,2020,"Census Tract 4525.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"227",51059452502,2020,"Census Tract 4525.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"228",51059452600,2020,"Census Tract 4526, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"229",51059452700,2020,"Census Tract 4527, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"230",51059452801,2020,"Census Tract 4528.01, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"231",51059452802,2020,"Census Tract 4528.02, Fairfax County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"232",51059460100,2020,"Census Tract 4601, Fairfax County, Virginia","tract","3sfca_capacity",0.715879284,"index",NA
"233",51059460200,2020,"Census Tract 4602, Fairfax County, Virginia","tract","3sfca_capacity",0.87037358,"index",NA
"234",51059460300,2020,"Census Tract 4603, Fairfax County, Virginia","tract","3sfca_capacity",1.949501769,"index",NA
"235",51059460400,2020,"Census Tract 4604, Fairfax County, Virginia","tract","3sfca_capacity",1.949501769,"index",NA
"236",51059460501,2020,"Census Tract 4605.01, Fairfax County, Virginia","tract","3sfca_capacity",1.949501769,"index",NA
"237",51059460502,2020,"Census Tract 4605.02, Fairfax County, Virginia","tract","3sfca_capacity",1.949501769,"index",NA
"238",51059460600,2020,"Census Tract 4606, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"239",51059460701,2020,"Census Tract 4607.01, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"240",51059460702,2020,"Census Tract 4607.02, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"241",51059460800,2020,"Census Tract 4608, Fairfax County, Virginia","tract","3sfca_capacity",1.949501769,"index",NA
"242",51059460900,2020,"Census Tract 4609, Fairfax County, Virginia","tract","3sfca_capacity",1.949501769,"index",NA
"243",51059461000,2020,"Census Tract 4610, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"244",51059461100,2020,"Census Tract 4611, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"245",51059461201,2020,"Census Tract 4612.01, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"246",51059461202,2020,"Census Tract 4612.02, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"247",51059461500,2020,"Census Tract 4615, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"248",51059461601,2020,"Census Tract 4616.01, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"249",51059461602,2020,"Census Tract 4616.02, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"250",51059461700,2020,"Census Tract 4617, Fairfax County, Virginia","tract","3sfca_capacity",3.609784208,"index",NA
"251",51059461801,2020,"Census Tract 4618.01, Fairfax County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
