"","geoid","year","region_name","region_type","measure","value","measure_type","measure_units"
"1",51013,2020,"Arlington County, Virginia","county","3sfca_capacity",2.077412816,"index",NA
"2",51059,2020,"Fairfax County, Virginia","county","3sfca_capacity",2.352703247,"index",NA
"3",51107,2020,"Loudoun County, Virginia","county","3sfca_capacity",0.12393656,"index",NA
"4",51153,2020,"Prince William County, Virginia","county","3sfca_capacity",0.12393656,"index",NA
"5",51510,2020,"Alexandria City, Virginia","county","3sfca_capacity",1.740890742,"index",NA
"6",51600,2020,"Fairfax City, Virginia","county","3sfca_capacity",2.077412816,"index",NA
"7",51610,2020,"Falls Church City, Virginia","county","3sfca_capacity",2.077412816,"index",NA
"8",51683,2020,"Manassas City, Virginia","county","3sfca_capacity",0.12393656,"index",NA
"9",51685,2020,"Manassas Park City, Virginia","county","3sfca_capacity",0.12393656,"index",NA
"10",51013,2020,"Arlington County, Virginia","county","2sfca30_capacity",0.00183878,"index",NA
"11",51059,2020,"Fairfax County, Virginia","county","2sfca30_capacity",0.001649494,"index",NA
"12",51107,2020,"Loudoun County, Virginia","county","2sfca30_capacity",0,"index",NA
"13",51153,2020,"Prince William County, Virginia","county","2sfca30_capacity",0,"index",NA
"14",51510,2020,"Alexandria City, Virginia","county","2sfca30_capacity",0.00121684,"index",NA
"15",51600,2020,"Fairfax City, Virginia","county","2sfca30_capacity",0.00183878,"index",NA
"16",51610,2020,"Falls Church City, Virginia","county","2sfca30_capacity",0.00183878,"index",NA
"17",51683,2020,"Manassas City, Virginia","county","2sfca30_capacity",0,"index",NA
"18",51685,2020,"Manassas Park City, Virginia","county","2sfca30_capacity",0,"index",NA
"19",51013,2020,"Arlington County, Virginia","county","norm_3sfca",44.33056198,"normalized index",NA
"20",51059,2020,"Fairfax County, Virginia","county","norm_3sfca",50.20507061,"normalized index",NA
"21",51107,2020,"Loudoun County, Virginia","county","norm_3sfca",2.644721027,"normalized index",NA
"22",51153,2020,"Prince William County, Virginia","county","norm_3sfca",2.644721027,"normalized index",NA
"23",51510,2020,"Alexandria City, Virginia","county","norm_3sfca",37.14941217,"normalized index",NA
"24",51600,2020,"Fairfax City, Virginia","county","norm_3sfca",44.33056198,"normalized index",NA
"25",51610,2020,"Falls Church City, Virginia","county","norm_3sfca",44.33056198,"normalized index",NA
"26",51683,2020,"Manassas City, Virginia","county","norm_3sfca",2.644721027,"normalized index",NA
"27",51685,2020,"Manassas Park City, Virginia","county","norm_3sfca",2.644721027,"normalized index",NA
"28",51013,2020,"Arlington County, Virginia","county","norm_2sfca",50.05078975,"normalized index",NA
"29",51059,2020,"Fairfax County, Virginia","county","norm_2sfca",44.89850257,"normalized index",NA
"30",51107,2020,"Loudoun County, Virginia","county","norm_2sfca",0,"normalized index",NA
"31",51153,2020,"Prince William County, Virginia","county","norm_2sfca",0,"normalized index",NA
"32",51510,2020,"Alexandria City, Virginia","county","norm_2sfca",33.12184616,"normalized index",NA
"33",51600,2020,"Fairfax City, Virginia","county","norm_2sfca",50.05078975,"normalized index",NA
"34",51610,2020,"Falls Church City, Virginia","county","norm_2sfca",50.05078975,"normalized index",NA
"35",51683,2020,"Manassas City, Virginia","county","norm_2sfca",0,"normalized index",NA
"36",51685,2020,"Manassas Park City, Virginia","county","norm_2sfca",0,"normalized index",NA
"37",51013,2020,"Arlington County, Virginia","county","program_capacity",NA,"count","number of graduates"
"38",51059,2020,"Fairfax County, Virginia","county","program_capacity",2068,"count","number of graduates"
"39",51107,2020,"Loudoun County, Virginia","county","program_capacity",NA,"count","number of graduates"
"40",51153,2020,"Prince William County, Virginia","county","program_capacity",NA,"count","number of graduates"
"41",51510,2020,"Alexandria City, Virginia","county","program_capacity",NA,"count","number of graduates"
"42",51600,2020,"Fairfax City, Virginia","county","program_capacity",NA,"count","number of graduates"
"43",51610,2020,"Falls Church City, Virginia","county","program_capacity",NA,"count","number of graduates"
"44",51683,2020,"Manassas City, Virginia","county","program_capacity",NA,"count","number of graduates"
"45",51685,2020,"Manassas Park City, Virginia","county","program_capacity",NA,"count","number of graduates"
"46",51013100100,2020,"Census Tract 1001, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"47",51013100200,2020,"Census Tract 1002, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"48",51013100300,2020,"Census Tract 1003, Arlington County, Virginia","tract","3sfca_capacity",0.87037358,"index",NA
"49",51013100400,2020,"Census Tract 1004, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"50",51013100500,2020,"Census Tract 1005, Arlington County, Virginia","tract","3sfca_capacity",0.87037358,"index",NA
"51",51013100600,2020,"Census Tract 1006, Arlington County, Virginia","tract","3sfca_capacity",0.87037358,"index",NA
"52",51013100700,2020,"Census Tract 1007, Arlington County, Virginia","tract","3sfca_capacity",0.87037358,"index",NA
"53",51013100800,2020,"Census Tract 1008, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"54",51013100900,2020,"Census Tract 1009, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"55",51013101000,2020,"Census Tract 1010, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"56",51013101100,2020,"Census Tract 1011, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"57",51013101200,2020,"Census Tract 1012, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"58",51013101300,2020,"Census Tract 1013, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"59",51013101401,2020,"Census Tract 1014.01, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"60",51013101402,2020,"Census Tract 1014.02, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"61",51013101403,2020,"Census Tract 1014.03, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"62",51013101404,2020,"Census Tract 1014.04, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"63",51013101500,2020,"Census Tract 1015, Arlington County, Virginia","tract","3sfca_capacity",0.87037358,"index",NA
"64",51013101601,2020,"Census Tract 1016.01, Arlington County, Virginia","tract","3sfca_capacity",0.87037358,"index",NA
"65",51013101602,2020,"Census Tract 1016.02, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"66",51013101603,2020,"Census Tract 1016.03, Arlington County, Virginia","tract","3sfca_capacity",0.87037358,"index",NA
"67",51013101701,2020,"Census Tract 1017.01, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"68",51013101702,2020,"Census Tract 1017.02, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"69",51013101703,2020,"Census Tract 1017.03, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"70",51013101801,2020,"Census Tract 1018.01, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"71",51013101802,2020,"Census Tract 1018.02, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"72",51013101803,2020,"Census Tract 1018.03, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"73",51013101900,2020,"Census Tract 1019, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"74",51013102001,2020,"Census Tract 1020.01, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"75",51013102002,2020,"Census Tract 1020.02, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"76",51013102003,2020,"Census Tract 1020.03, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"77",51013102100,2020,"Census Tract 1021, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"78",51013102200,2020,"Census Tract 1022, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"79",51013102301,2020,"Census Tract 1023.01, Arlington County, Virginia","tract","3sfca_capacity",2.294162945,"index",NA
"80",51013102302,2020,"Census Tract 1023.02, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"81",51013102400,2020,"Census Tract 1024, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"82",51013102500,2020,"Census Tract 1025, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"83",51013102600,2020,"Census Tract 1026, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"84",51013102701,2020,"Census Tract 1027.01, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"85",51013102702,2020,"Census Tract 1027.02, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"86",51013102801,2020,"Census Tract 1028.01, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"87",51013102802,2020,"Census Tract 1028.02, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"88",51013102901,2020,"Census Tract 1029.01, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"89",51013102902,2020,"Census Tract 1029.02, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"90",51013103000,2020,"Census Tract 1030, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"91",51013103100,2020,"Census Tract 1031, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"92",51013103200,2020,"Census Tract 1032, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"93",51013103300,2020,"Census Tract 1033, Arlington County, Virginia","tract","3sfca_capacity",2.974685044,"index",NA
"94",51013103401,2020,"Census Tract 1034.01, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"95",51013103402,2020,"Census Tract 1034.02, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"96",51013103501,2020,"Census Tract 1035.01, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"97",51013103502,2020,"Census Tract 1035.02, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"98",51013103503,2020,"Census Tract 1035.03, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"99",51013103601,2020,"Census Tract 1036.01, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
"100",51013103602,2020,"Census Tract 1036.02, Arlington County, Virginia","tract","3sfca_capacity",1.228550327,"index",NA
