geoid,measure,value,year,region_type,measure_type,region_name
110010001001,population,1508,2021,block group,count,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia"
110010001002,population,1376,2021,block group,count,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia"
110010001003,population,1108,2021,block group,count,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia"
110010001004,population,896,2021,block group,count,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia"
110010002011,population,3922,2021,block group,count,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia"
110010002021,population,1242,2021,block group,count,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia"
110010002022,population,650,2021,block group,count,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia"
110010002023,population,894,2021,block group,count,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia"
110010002024,population,1923,2021,block group,count,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia"
110010003001,population,1270,2021,block group,count,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia"
110010003002,population,1343,2021,block group,count,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia"
110010003003,population,1893,2021,block group,count,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia"
110010003004,population,2079,2021,block group,count,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia"
110010004001,population,553,2021,block group,count,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia"
110010004002,population,860,2021,block group,count,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia"
110010005011,population,1166,2021,block group,count,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia"
110010005012,population,2268,2021,block group,count,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia"
110010005021,population,1825,2021,block group,count,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia"
110010005022,population,1571,2021,block group,count,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia"
110010006001,population,1361,2021,block group,count,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia"
110010006002,population,1076,2021,block group,count,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia"
110010006003,population,811,2021,block group,count,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia"
110010006004,population,1718,2021,block group,count,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia"
110010007011,population,1336,2021,block group,count,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia"
110010007012,population,1157,2021,block group,count,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia"
110010007013,population,1684,2021,block group,count,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia"
110010007014,population,1609,2021,block group,count,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia"
110010007021,population,1306,2021,block group,count,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia"
110010007022,population,976,2021,block group,count,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia"
110010007023,population,690,2021,block group,count,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia"
110010008011,population,1559,2021,block group,count,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia"
110010008012,population,1284,2021,block group,count,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia"
110010008013,population,2426,2021,block group,count,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia"
110010008014,population,926,2021,block group,count,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia"
110010008021,population,2152,2021,block group,count,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia"
110010008022,population,1318,2021,block group,count,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia"
110010009011,population,1615,2021,block group,count,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia"
110010009012,population,1597,2021,block group,count,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia"
110010009013,population,4058,2021,block group,count,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia"
110010009021,population,985,2021,block group,count,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia"
110010009022,population,1431,2021,block group,count,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia"
110010010011,population,832,2021,block group,count,"Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia"
110010010012,population,1885,2021,block group,count,"Block Group 2, Census Tract 10.01, District of Columbia, District of Columbia"
110010010013,population,891,2021,block group,count,"Block Group 3, Census Tract 10.01, District of Columbia, District of Columbia"
110010010014,population,1577,2021,block group,count,"Block Group 4, Census Tract 10.01, District of Columbia, District of Columbia"
110010010015,population,863,2021,block group,count,"Block Group 5, Census Tract 10.01, District of Columbia, District of Columbia"
110010010016,population,1165,2021,block group,count,"Block Group 6, Census Tract 10.01, District of Columbia, District of Columbia"
110010010021,population,1001,2021,block group,count,"Block Group 1, Census Tract 10.02, District of Columbia, District of Columbia"
110010010022,population,1481,2021,block group,count,"Block Group 2, Census Tract 10.02, District of Columbia, District of Columbia"
110010010023,population,946,2021,block group,count,"Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia"
110010011001,population,1704,2021,block group,count,"Block Group 1, Census Tract 11, District of Columbia, District of Columbia"
110010011002,population,1548,2021,block group,count,"Block Group 2, Census Tract 11, District of Columbia, District of Columbia"
110010011003,population,662,2021,block group,count,"Block Group 3, Census Tract 11, District of Columbia, District of Columbia"
110010011004,population,909,2021,block group,count,"Block Group 4, Census Tract 11, District of Columbia, District of Columbia"
110010012001,population,1824,2021,block group,count,"Block Group 1, Census Tract 12, District of Columbia, District of Columbia"
110010012002,population,936,2021,block group,count,"Block Group 2, Census Tract 12, District of Columbia, District of Columbia"
110010012003,population,801,2021,block group,count,"Block Group 3, Census Tract 12, District of Columbia, District of Columbia"
110010012004,population,1801,2021,block group,count,"Block Group 4, Census Tract 12, District of Columbia, District of Columbia"
110010013011,population,1850,2021,block group,count,"Block Group 1, Census Tract 13.01, District of Columbia, District of Columbia"
110010013012,population,915,2021,block group,count,"Block Group 2, Census Tract 13.01, District of Columbia, District of Columbia"
110010013013,population,1569,2021,block group,count,"Block Group 3, Census Tract 13.01, District of Columbia, District of Columbia"
110010013021,population,2488,2021,block group,count,"Block Group 1, Census Tract 13.02, District of Columbia, District of Columbia"
110010013022,population,3994,2021,block group,count,"Block Group 2, Census Tract 13.02, District of Columbia, District of Columbia"
110010013023,population,684,2021,block group,count,"Block Group 3, Census Tract 13.02, District of Columbia, District of Columbia"
110010014011,population,2456,2021,block group,count,"Block Group 1, Census Tract 14.01, District of Columbia, District of Columbia"
110010014012,population,1203,2021,block group,count,"Block Group 2, Census Tract 14.01, District of Columbia, District of Columbia"
110010014021,population,1047,2021,block group,count,"Block Group 1, Census Tract 14.02, District of Columbia, District of Columbia"
110010014022,population,1163,2021,block group,count,"Block Group 2, Census Tract 14.02, District of Columbia, District of Columbia"
110010014023,population,1160,2021,block group,count,"Block Group 3, Census Tract 14.02, District of Columbia, District of Columbia"
110010015001,population,1679,2021,block group,count,"Block Group 1, Census Tract 15, District of Columbia, District of Columbia"
110010015002,population,1031,2021,block group,count,"Block Group 2, Census Tract 15, District of Columbia, District of Columbia"
110010015003,population,672,2021,block group,count,"Block Group 3, Census Tract 15, District of Columbia, District of Columbia"
110010015004,population,1581,2021,block group,count,"Block Group 4, Census Tract 15, District of Columbia, District of Columbia"
110010015005,population,1131,2021,block group,count,"Block Group 5, Census Tract 15, District of Columbia, District of Columbia"
110010016001,population,1329,2021,block group,count,"Block Group 1, Census Tract 16, District of Columbia, District of Columbia"
110010016002,population,675,2021,block group,count,"Block Group 2, Census Tract 16, District of Columbia, District of Columbia"
110010016003,population,896,2021,block group,count,"Block Group 3, Census Tract 16, District of Columbia, District of Columbia"
110010016004,population,2059,2021,block group,count,"Block Group 4, Census Tract 16, District of Columbia, District of Columbia"
110010017021,population,1513,2021,block group,count,"Block Group 1, Census Tract 17.02, District of Columbia, District of Columbia"
110010017022,population,1969,2021,block group,count,"Block Group 2, Census Tract 17.02, District of Columbia, District of Columbia"
110010018031,population,1288,2021,block group,count,"Block Group 1, Census Tract 18.03, District of Columbia, District of Columbia"
110010018032,population,2943,2021,block group,count,"Block Group 2, Census Tract 18.03, District of Columbia, District of Columbia"
110010018041,population,1366,2021,block group,count,"Block Group 1, Census Tract 18.04, District of Columbia, District of Columbia"
110010018042,population,2037,2021,block group,count,"Block Group 2, Census Tract 18.04, District of Columbia, District of Columbia"
110010018043,population,2491,2021,block group,count,"Block Group 3, Census Tract 18.04, District of Columbia, District of Columbia"
110010019011,population,927,2021,block group,count,"Block Group 1, Census Tract 19.01, District of Columbia, District of Columbia"
110010019012,population,956,2021,block group,count,"Block Group 2, Census Tract 19.01, District of Columbia, District of Columbia"
110010019013,population,1553,2021,block group,count,"Block Group 3, Census Tract 19.01, District of Columbia, District of Columbia"
110010019014,population,747,2021,block group,count,"Block Group 4, Census Tract 19.01, District of Columbia, District of Columbia"
110010019021,population,1700,2021,block group,count,"Block Group 1, Census Tract 19.02, District of Columbia, District of Columbia"
110010019022,population,844,2021,block group,count,"Block Group 2, Census Tract 19.02, District of Columbia, District of Columbia"
110010020011,population,2442,2021,block group,count,"Block Group 1, Census Tract 20.01, District of Columbia, District of Columbia"
110010020012,population,1048,2021,block group,count,"Block Group 2, Census Tract 20.01, District of Columbia, District of Columbia"
110010020021,population,1318,2021,block group,count,"Block Group 1, Census Tract 20.02, District of Columbia, District of Columbia"
110010020022,population,1711,2021,block group,count,"Block Group 2, Census Tract 20.02, District of Columbia, District of Columbia"
110010020023,population,1752,2021,block group,count,"Block Group 3, Census Tract 20.02, District of Columbia, District of Columbia"
110010021011,population,1362,2021,block group,count,"Block Group 1, Census Tract 21.01, District of Columbia, District of Columbia"
110010021012,population,1008,2021,block group,count,"Block Group 2, Census Tract 21.01, District of Columbia, District of Columbia"
110010021013,population,1548,2021,block group,count,"Block Group 3, Census Tract 21.01, District of Columbia, District of Columbia"
110010021014,population,439,2021,block group,count,"Block Group 4, Census Tract 21.01, District of Columbia, District of Columbia"
110010021015,population,1174,2021,block group,count,"Block Group 5, Census Tract 21.01, District of Columbia, District of Columbia"
110010021021,population,1136,2021,block group,count,"Block Group 1, Census Tract 21.02, District of Columbia, District of Columbia"
110010021022,population,845,2021,block group,count,"Block Group 2, Census Tract 21.02, District of Columbia, District of Columbia"
110010021023,population,1341,2021,block group,count,"Block Group 3, Census Tract 21.02, District of Columbia, District of Columbia"
110010021024,population,921,2021,block group,count,"Block Group 4, Census Tract 21.02, District of Columbia, District of Columbia"
110010021025,population,603,2021,block group,count,"Block Group 5, Census Tract 21.02, District of Columbia, District of Columbia"
110010021026,population,814,2021,block group,count,"Block Group 6, Census Tract 21.02, District of Columbia, District of Columbia"
110010022011,population,1512,2021,block group,count,"Block Group 1, Census Tract 22.01, District of Columbia, District of Columbia"
110010022012,population,1029,2021,block group,count,"Block Group 2, Census Tract 22.01, District of Columbia, District of Columbia"
110010022013,population,723,2021,block group,count,"Block Group 3, Census Tract 22.01, District of Columbia, District of Columbia"
110010022021,population,1754,2021,block group,count,"Block Group 1, Census Tract 22.02, District of Columbia, District of Columbia"
110010022022,population,1006,2021,block group,count,"Block Group 2, Census Tract 22.02, District of Columbia, District of Columbia"
110010022023,population,572,2021,block group,count,"Block Group 3, Census Tract 22.02, District of Columbia, District of Columbia"
110010023011,population,1889,2021,block group,count,"Block Group 1, Census Tract 23.01, District of Columbia, District of Columbia"
110010023012,population,1719,2021,block group,count,"Block Group 2, Census Tract 23.01, District of Columbia, District of Columbia"
110010023021,population,1612,2021,block group,count,"Block Group 1, Census Tract 23.02, District of Columbia, District of Columbia"
110010024001,population,1041,2021,block group,count,"Block Group 1, Census Tract 24, District of Columbia, District of Columbia"
110010024002,population,1094,2021,block group,count,"Block Group 2, Census Tract 24, District of Columbia, District of Columbia"
110010024003,population,975,2021,block group,count,"Block Group 3, Census Tract 24, District of Columbia, District of Columbia"
110010024004,population,994,2021,block group,count,"Block Group 4, Census Tract 24, District of Columbia, District of Columbia"
110010025011,population,1700,2021,block group,count,"Block Group 1, Census Tract 25.01, District of Columbia, District of Columbia"
110010025012,population,1560,2021,block group,count,"Block Group 2, Census Tract 25.01, District of Columbia, District of Columbia"
