"region_name","year","value","region_type","measure","measure_type","measure_units","geoid"
"Arlington County, Virginia",2015,10.28922525,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2015,10.28922525,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2015,10.28922525,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2015,10.28922525,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2015,10.28922525,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2016,11.47498651,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2016,11.47498651,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2016,11.47498651,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2016,11.47498651,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2016,11.47498651,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2017,10.95615421,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2017,10.95615421,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2017,10.95615421,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2017,10.95615421,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2017,10.95615421,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2018,9.713087553,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2018,9.713087553,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2018,9.713087553,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2018,9.713087553,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2018,9.713087553,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2019,9.045458145,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2019,9.045458145,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2019,9.045458145,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2019,9.045458145,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Arlington County, Virginia",2019,9.045458145,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51013
"Fairfax County, Virginia",2015,11.15050908,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2015,11.15050908,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2015,11.15050908,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2015,11.15050908,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2015,11.15050908,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2016,10.78784153,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2016,10.78784153,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2016,10.78784153,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2016,10.78784153,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2016,10.78784153,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
"Fairfax County, Virginia",2017,9.620036348,"county","perc_poor_ment_hlth_days_14_and_over","mean","days",51059
